,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,GroupAllErith_PT_0,GroupAllErith_PT_0.01,GroupAllErith_PT_0.02,GroupAllErith_PT_0.03,GroupAllErith_PT_0.04,GroupAllErith_PT_0.05,GroupAllErith_PT_0.06,GroupAllErith_PT_0.07,GroupAllErith_PT_0.08,GroupAllErith_PT_0.09,GroupAllErith_PT_0.1,GroupAllErith_PT_0.11,GroupAllErith_PT_0.12,GroupAllErith_PT_0.13,GroupAllErith_PT_0.14,GroupAllErith_PT_0.15,GroupAllErith_PT_0.16,GroupAllErith_PT_0.17,GroupAllErith_PT_0.18,GroupAllErith_PT_0.19,GroupAllErith_PT_0.2,GroupAllErith_PT_0.21,GroupAllErith_PT_0.22,GroupAllErith_PT_0.23,GroupAllErith_PT_0.24,GroupAllErith_PT_0.25,GroupAllErith_PT_0.26,GroupAllErith_PT_0.27,GroupAllErith_PT_0.28,GroupAllErith_PT_0.29,GroupAllErith_PT_0.3,GroupAllErith_PT_0.31,GroupAllErith_PT_0.32,GroupAllErith_PT_0.33,GroupAllErith_PT_0.34,GroupAllErith_PT_0.35,GroupAllErith_PT_0.36,GroupAllErith_PT_0.37,GroupAllErith_PT_0.38,GroupAllErith_PT_0.39,GroupAllErith_PT_0.4,GroupAllErith_PT_0.41,GroupAllErith_PT_0.42,GroupAllErith_PT_0.43,GroupAllErith_PT_0.44,GroupAllErith_PT_0.45,GroupAllErith_PT_0.46,GroupAllErith_PT_0.47,GroupAllErith_PT_0.48,GroupAllErith_PT_0.49,GroupAllErith_PT_0.5,GroupAllErith_PT_0.51,GroupAllErith_PT_0.52,GroupAllErith_PT_0.53,GroupAllErith_PT_0.54,GroupAllErith_PT_0.55,GroupAllErith_PT_0.56,GroupAllErith_PT_0.57,GroupAllErith_PT_0.58,GroupAllErith_PT_0.59,GroupAllErith_PT_0.6,GroupAllErith_PT_0.61,GroupAllErith_PT_0.62,GroupAllErith_PT_0.63,GroupAllErith_PT_0.64,GroupAllErith_PT_0.65,GroupAllErith_PT_0.66,GroupAllErith_PT_0.67,GroupAllErith_PT_0.68,GroupAllErith_PT_0.69,GroupAllErith_PT_0.7,GroupAllErith_PT_0.71,GroupAllErith_PT_0.72,GroupAllErith_PT_0.73,GroupAllErith_PT_0.74,GroupAllErith_PT_0.75,GroupAllErith_PT_0.76,GroupAllErith_PT_0.77,GroupAllErith_PT_0.78,GroupAllErith_PT_0.79,GroupAllErith_PT_0.8,GroupAllErith_PT_0.81,GroupAllErith_PT_0.82,GroupAllErith_PT_0.83,GroupAllErith_PT_0.84,GroupAllErith_PT_0.85,GroupAllErith_PT_0.86,GroupAllErith_PT_0.87,GroupAllErith_PT_0.88,GroupAllErith_PT_0.89,GroupAllErith_PT_0.9,GroupAllErith_PT_0.91,GroupAllErith_PT_0.92,GroupAllErith_PT_0.93,GroupAllErith_PT_0.94,GroupAllErith_PT_0.95,GroupAllErith_PT_0.96,GroupAllErith_PT_0.97,GroupAllErith_PT_0.98,GroupAllErith_PT_0.99,GroupAllErith_PT_1
1067,MT2A,0,0,118.787,9.7001e-25,6.1673e-21,-0.11522,-0.1053104,-0.0954214,-0.085576,-0.075795,-0.066102,-0.05651644,-0.0470614,-0.03775824,-0.028629,-0.019694,-0.010977,-0.0024983,0.00572006,0.013656,0.021289,0.028596,0.035556,0.042147,0.04834756,0.05413589,0.05949,0.064389,0.068811,0.072733,0.076135,0.078994,0.08129266,0.083022,0.084175,0.084746,0.084726,0.084109,0.082889,0.08105746,0.07860839,0.075535,0.071829,0.067485,0.062496,0.0568722,0.05065279,0.043881,0.036598,0.028848,0.020673,0.012116,0.0032186,-0.0059761,-0.015426,-0.02508717,-0.03491844,-0.044877,-0.05492,-0.065004,-0.07508841,-0.085129,-0.095084,-0.10491112,-0.11457,-0.12400927,-0.13319554,-0.14208318,-0.15063,-0.15879,-0.16652866,-0.1738,-0.18055209,-0.18675403,-0.19236,-0.19732553,-0.20160994,-0.20517004,-0.20797106,-0.21002401,-0.21135657,-0.21199644,-0.21197,-0.21131,-0.21003707,-0.20818,-0.20578,-0.20284104,-0.19940796,-0.1955,-0.19116,-0.18639,-0.18124,-0.17573,-0.16989,-0.16373937,-0.15731391,-0.15064,-0.14374,-0.13665217,-0.1293955,-0.12200029,-0.11449,-0.10691,-0.09926051,-0.091588
1068,SUMO1,0,0,114.277,8.9032e-24,5.6331e-20,-0.21442,-0.203581,-0.1927675,-0.182,-0.17131,-0.16072,-0.15024903,-0.13992581,-0.12977417,-0.11982,-0.11008,-0.10059,-0.091374,-0.08244758,-0.07384,-0.065576,-0.057679,-0.050175,-0.043087,-0.03644079,-0.03026003,-0.02457,-0.019394,-0.014757,-0.010684,-0.0071999,-0.0043282,-0.00208553,-0.00046511,0.0005437,0.00095154,0.00076906,6.9206e-06,-0.0013242,-0.00321372,-0.00565091,-0.0086251,-0.012126,-0.016142,-0.020663,-0.02567265,-0.0311414,-0.03704,-0.04334,-0.050011,-0.057025,-0.064351,-0.07195992,-0.079823,-0.087911,-0.09619419,-0.10464314,-0.11323,-0.12192,-0.13069,-0.13950998,-0.14835,-0.15717,-0.16596232,-0.17468,-0.18330054,-0.19179254,-0.2001273,-0.20828,-0.21621,-0.22389442,-0.23131,-0.2384145,-0.24518902,-0.2516,-0.25762017,-0.26321806,-0.268365,-0.27303679,-0.2772397,-0.2809911,-0.28430833,-0.28721,-0.28971,-0.29182873,-0.29358,-0.29499,-0.29606689,-0.29683126,-0.2973,-0.29749,-0.29742,-0.29711,-0.29657,-0.29583,-0.294888,-0.29377681,-0.29251,-0.2911,-0.2895749,-0.28794272,-0.2862237,-0.28444,-0.28259,-0.28071932,-0.27883
1069,MPLKIP,0,0,98.386,2.1692e-20,1.3321e-16,-0.1654,-0.157896,-0.1504125,-0.14296,-0.13556,-0.12823,-0.12098965,-0.11384692,-0.10682345,-0.099936,-0.093202,-0.086639,-0.080263,-0.07409154,-0.068142,-0.06243,-0.056974,-0.051791,-0.046897,-0.04231023,-0.03804702,-0.034125,-0.03056,-0.02737,-0.024572,-0.022183,-0.02022,-0.01870087,-0.017644,-0.017069,-0.016996,-0.017443,-0.018431,-0.019978,-0.0221034,-0.02482735,-0.028169,-0.032147,-0.036782,-0.042092,-0.04807366,-0.05468339,-0.061874,-0.069598,-0.077808,-0.086457,-0.095498,-0.10488265,-0.11456,-0.1245,-0.13462912,-0.14491755,-0.15531,-0.16577,-0.17624,-0.18667417,-0.19703,-0.20725,-0.21729966,-0.22712,-0.23667734,-0.24591242,-0.25478191,-0.26324,-0.27123,-0.27872356,-0.28566,-0.29198912,-0.29767128,-0.30266,-0.30689775,-0.31034742,-0.31295828,-0.31469182,-0.3155612,-0.31559839,-0.31483541,-0.3133,-0.31104,-0.3080655,-0.30442,-0.30014,-0.29524628,-0.28977828,-0.28377,-0.27724,-0.27024,-0.26279,-0.25492,-0.24666,-0.23805934,-0.22913459,-0.21992,-0.21045,-0.20075998,-0.19087502,-0.18083002,-0.17066,-0.16039,-0.15005489,-0.13969
1070,ARMC10,0,0,98.078,2.5237e-20,1.5483e-16,-0.26624,-0.2513418,-0.2364789,-0.22169,-0.207,-0.19245,-0.17807856,-0.1639166,-0.14999999,-0.13636,-0.12304,-0.11007,-0.097488,-0.08532384,-0.073615,-0.062398,-0.051705,-0.041574,-0.032039,-0.02313416,-0.01489554,-0.0073579,-0.00055631,0.0054742,0.010699,0.015082,0.018589,0.02119696,0.022918,0.023771,0.023773,0.022942,0.021296,0.018853,0.01563123,0.01164829,0.0069222,0.0014711,-0.0046873,-0.011535,-0.01904184,-0.02715971,-0.035837,-0.045024,-0.054669,-0.064721,-0.07513,-0.08584397,-0.096813,-0.10799,-0.11931083,-0.13073839,-0.14222,-0.1537,-0.16512,-0.17645187,-0.18763,-0.1986,-0.20931603,-0.21973,-0.2297858,-0.23943617,-0.24862905,-0.25731,-0.26544,-0.27295401,-0.27981,-0.28595057,-0.29133022,-0.2959,-0.29959791,-0.30238421,-0.30420433,-0.30501711,-0.30483846,-0.30370508,-0.3016537,-0.29872,-0.29494,-0.29035867,-0.285,-0.27891,-0.27212347,-0.26467417,-0.2566,-0.24794,-0.23873,-0.229,-0.2188,-0.20815,-0.1971065,-0.18569139,-0.17395,-0.16191,-0.14961005,-0.13709333,-0.124393,-0.11155,-0.098588,-0.08555762,-0.07249
1071,PCID2,0,0,100.541,7.5452e-21,4.6599e-17,-0.2394,-0.2237931,-0.2082183,-0.19272,-0.17732,-0.16207,-0.14699897,-0.13214419,-0.11754145,-0.10323,-0.089236,-0.075605,-0.062371,-0.04956828,-0.037234,-0.025403,-0.014113,-0.0033987,0.0067036,0.01615776,0.02492786,0.032978,0.040272,0.046774,0.052447,0.057257,0.061167,0.06415223,0.066223,0.067396,0.067684,0.067104,0.065671,0.0634,0.06030615,0.05640555,0.051713,0.046244,0.040014,0.033038,0.02534626,0.01699106,0.0080284,-0.0014861,-0.011497,-0.021948,-0.032785,-0.04395029,-0.05539,-0.067047,-0.07886742,-0.09079439,-0.10277,-0.11475,-0.12666,-0.1384587,-0.15009,-0.16149,-0.17260381,-0.18338,-0.1937695,-0.20370618,-0.21313791,-0.22201,-0.23026,-0.23784724,-0.2447,-0.25077569,-0.25600973,-0.26035,-0.26373932,-0.26612363,-0.26744679,-0.26766383,-0.26679226,-0.26487238,-0.26194452,-0.25805,-0.25323,-0.24751617,-0.24096,-0.2336,-0.22546742,-0.21661257,-0.20707,-0.19689,-0.1861,-0.17474,-0.16286,-0.1505,-0.13769439,-0.12448502,-0.11091,-0.097018,-0.08284093,-0.06842198,-0.05380142,-0.03902,-0.024117,-0.00913337,0.0058904
1072,GGCT,0,0,144.294,3.3976e-30,2.2173e-26,-0.21641,-0.2064742,-0.1965592,-0.18669,-0.17689,-0.16718,-0.15758805,-0.14813221,-0.13883707,-0.12973,-0.12082,-0.11215,-0.10372,-0.09557535,-0.087727,-0.080199,-0.073016,-0.0662,-0.059775,-0.05376232,-0.0481862,-0.043069,-0.038434,-0.034304,-0.030703,-0.027652,-0.025175,-0.02329188,-0.022015,-0.021354,-0.021321,-0.021926,-0.023179,-0.025092,-0.02767372,-0.03093622,-0.03489,-0.039545,-0.044912,-0.051002,-0.05780492,-0.06527371,-0.073359,-0.082012,-0.091182,-0.10082,-0.11088,-0.12130402,-0.13205,-0.14306,-0.15430027,-0.16570655,-0.17723,-0.18883,-0.20045,-0.21204774,-0.22356,-0.23495,-0.2461678,-0.25716,-0.26786833,-0.27825606,-0.28826935,-0.29786,-0.30697,-0.31556699,-0.32359,-0.33098461,-0.3377105,-0.34372,-0.34894865,-0.35336177,-0.35690486,-0.35953752,-0.36127332,-0.36214544,-0.36218711,-0.36143,-0.35991,-0.35766156,-0.35471,-0.3511,-0.34685776,-0.34201634,-0.33661,-0.33067,-0.32424,-0.31734,-0.31,-0.30227,-0.29417478,-0.28574579,-0.27702,-0.26802,-0.25879793,-0.24937239,-0.23978077,-0.23006,-0.22023,-0.21034153,-0.20042
1073,MRPL32,0,0,151.913,7.921e-32,5.2025e-28,-0.2019,-0.1890665,-0.1762576,-0.16351,-0.15084,-0.1383,-0.12589924,-0.11367504,-0.10165547,-0.08987,-0.078347,-0.067117,-0.056208,-0.04565011,-0.035472,-0.025703,-0.016373,-0.0075107,0.00085484,0.00869422,0.0159782,0.022678,0.028763,0.034205,0.038975,0.043044,0.046381,0.04896764,0.050805,0.051901,0.052261,0.051894,0.050805,0.049002,0.04649174,0.04328053,0.039376,0.034784,0.029512,0.023567,0.01696819,0.00975817,0.0019803,-0.0063214,-0.015103,-0.024321,-0.033932,-0.04389107,-0.054155,-0.06468,-0.07542121,-0.08633605,-0.09738,-0.10851,-0.11968,-0.13085006,-0.14197,-0.15301,-0.1639052,-0.17463,-0.18512691,-0.19536171,-0.20528733,-0.21486,-0.22404,-0.23277067,-0.24102,-0.24874315,-0.25589292,-0.26243,-0.26830027,-0.27347015,-0.27789238,-0.28153113,-0.2843978,-0.28652096,-0.28792921,-0.28865,-0.28872,-0.28815044,-0.28698,-0.28525,-0.28296691,-0.28017147,-0.27689,-0.27315,-0.26898,-0.26441,-0.25947,-0.25419,-0.2485928,-0.24270893,-0.23657,-0.2302,-0.22362749,-0.21688572,-0.21000097,-0.203,-0.19592,-0.18877478,-0.1816
1074,YME1L1,0,0,109.282,1.0353e-22,6.4894e-19,-0.21258,-0.2021087,-0.191661,-0.18126,-0.17093,-0.1607,-0.15058855,-0.14061972,-0.13081848,-0.12121,-0.11181,-0.10266,-0.093768,-0.08516417,-0.076871,-0.068914,-0.061315,-0.0541,-0.047291,-0.04091354,-0.03499093,-0.029547,-0.024606,-0.020192,-0.016328,-0.013039,-0.010349,-0.00827159,-0.0067962,-0.005907,-0.0055883,-0.0058245,-0.0065998,-0.0078986,-0.00970524,-0.01200398,-0.014779,-0.018015,-0.021696,-0.025806,-0.03032843,-0.03524065,-0.040521,-0.046149,-0.052102,-0.058358,-0.064896,-0.07169407,-0.07873,-0.085984,-0.09343159,-0.10105289,-0.10883,-0.11673,-0.12474,-0.13283681,-0.141,-0.1492,-0.15743084,-0.16566,-0.17386143,-0.182022,-0.19011715,-0.19813,-0.20602,-0.21379316,-0.22141,-0.2288523,-0.23609931,-0.24313,-0.24991974,-0.25644976,-0.26269738,-0.26864453,-0.27429446,-0.27965817,-0.28474665,-0.28957,-0.29414,-0.29847087,-0.30257,-0.30645,-0.31011443,-0.31358463,-0.31687,-0.31997,-0.32292,-0.3257,-0.32835,-0.33086,-0.33325231,-0.33553355,-0.33772,-0.33981,-0.34182686,-0.34377784,-0.34567378,-0.34753,-0.34934,-0.35114143,-0.35293
1075,NUDCD2,0,0,138.151,7.0214e-29,4.5562e-25,-0.17019,-0.1597308,-0.1492912,-0.1389,-0.12858,-0.11835,-0.10823782,-0.09826833,-0.08846337,-0.078846,-0.069441,-0.060271,-0.051359,-0.04272956,-0.034406,-0.026411,-0.018768,-0.011502,-0.0046354,0.00180804,0.0078049,0.013332,0.018365,0.022881,0.026856,0.030267,0.03309,0.03530466,0.036893,0.037841,0.038132,0.037751,0.036682,0.034911,0.03242094,0.02919741,0.025225,0.020487,0.014969,0.0086565,0.00155723,-0.00627769,-0.014793,-0.023935,-0.033648,-0.043877,-0.054568,-0.06566525,-0.077114,-0.088861,-0.10084919,-0.11302502,-0.12533,-0.13772,-0.15013,-0.16250561,-0.1748,-0.18694,-0.19889707,-0.2106,-0.22199327,-0.23302747,-0.24364596,-0.25379,-0.26342,-0.27245897,-0.28087,-0.28858399,-0.29555692,-0.30173,-0.30704952,-0.31145953,-0.31490558,-0.31734302,-0.31878686,-0.3192739,-0.31884092,-0.31752,-0.31536,-0.3123899,-0.30864,-0.30416,-0.29898358,-0.29314092,-0.28667,-0.27962,-0.27201,-0.26388,-0.25528,-0.24624,-0.23678606,-0.22696894,-0.21682,-0.20638,-0.19567755,-0.18475642,-0.17365128,-0.1624,-0.15104,-0.13959985,-0.12813
1076,DNAJC19,0,0,156.91,6.7231e-33,4.4379e-29,-0.29094,-0.271768,-0.2526347,-0.23359,-0.21467,-0.19592,-0.17738629,-0.15910969,-0.14113297,-0.1235,-0.10625,-0.08943,-0.073082,-0.05724691,-0.041969,-0.027291,-0.013256,9.4521e-05,0.012716,0.02456696,0.03560368,0.045784,0.055064,0.063402,0.070754,0.077079,0.082332,0.08648619,0.089553,0.091553,0.092503,0.092424,0.091335,0.089254,0.08620051,0.08219419,0.077254,0.071399,0.064648,0.05702,0.04855076,0.03929914,0.029328,0.0187,0.0074787,-0.0042745,-0.016496,-0.02912416,-0.042095,-0.055347,-0.06881713,-0.08244235,-0.09616,-0.10991,-0.12362,-0.13724312,-0.1507,-0.16395,-0.17690374,-0.18952,-0.20171838,-0.21344995,-0.22464745,-0.23525,-0.24519,-0.25440885,-0.26284,-0.27043047,-0.27710746,-0.28281,-0.28748047,-0.29105113,-0.293461,-0.29465926,-0.29466471,-0.2935215,-0.2912738,-0.28797,-0.28364,-0.27834557,-0.27212,-0.26501,-0.25706742,-0.24832533,-0.23883,-0.22863,-0.21777,-0.20629,-0.19423,-0.18165,-0.16857535,-0.15506188,-0.14115,-0.12689,-0.1123125,-0.09747365,-0.08241389,-0.067177,-0.051808,-0.03635105,-0.02085
1077,PSMG1,0,0,178.483,1.5788e-37,1.0591e-33,-0.23233,-0.2152323,-0.1981716,-0.18119,-0.16432,-0.14761,-0.13110151,-0.11482273,-0.09881763,-0.083125,-0.067785,-0.052835,-0.038316,-0.02426584,-0.010724,0.0022707,0.014679,0.026461,0.037579,0.04799322,0.05766445,0.066554,0.074622,0.08183,0.088139,0.093509,0.097902,0.10129246,0.10369,0.10512,0.10559,0.10514,0.10376,0.10149,0.09833946,0.094331,0.089482,0.083812,0.077339,0.070082,0.06207204,0.05335915,0.043996,0.034035,0.023529,0.01253,0.0010902,-0.01073708,-0.0229,-0.035345,-0.04802086,-0.06087448,-0.073853,-0.086905,-0.099978,-0.11301768,-0.12597,-0.13879,-0.15142039,-0.16381,-0.17589924,-0.1876443,-0.19898978,-0.20988,-0.22027,-0.23010391,-0.23933,-0.24788644,-0.25573216,-0.26281,-0.26907006,-0.27445724,-0.27891993,-0.28241535,-0.28495797,-0.28658303,-0.28732582,-0.28722,-0.28631,-0.28461354,-0.28218,-0.27904,-0.27523134,-0.27078642,-0.26574,-0.26013,-0.25399,-0.24736,-0.24027,-0.23275,-0.22485,-0.21659371,-0.20802,-0.19916,-0.1900603,-0.18074529,-0.17125383,-0.16162,-0.15188,-0.14207363,-0.13223
1078,ADSL,0,0,173.247,2.1016e-36,1.406e-32,-0.31786,-0.2985125,-0.2792059,-0.25999,-0.2409,-0.22198,-0.20327827,-0.18483751,-0.16669981,-0.14891,-0.13151,-0.11454,-0.098045,-0.08207224,-0.066662,-0.051858,-0.037703,-0.024241,-0.011515,0.00043209,0.0115564,0.021815,0.031164,0.039561,0.046962,0.053324,0.058604,0.06277403,0.06585,0.067854,0.068811,0.068744,0.067674,0.065627,0.06262367,0.05868881,0.053845,0.048116,0.041524,0.034093,0.02585732,0.01687238,0.0071947,-0.0031189,-0.014012,-0.025427,-0.037307,-0.04959667,-0.062238,-0.075174,-0.08834936,-0.10170579,-0.11519,-0.12874,-0.1423,-0.1558114,-0.16922,-0.18248,-0.19551422,-0.20828,-0.22071351,-0.23276201,-0.24436734,-0.25547,-0.26602,-0.2759564,-0.28522,-0.29375873,-0.3015124,-0.30843,-0.31444076,-0.31950187,-0.32355188,-0.32654456,-0.32849583,-0.32944425,-0.32942837,-0.32849,-0.32666,-0.32398069,-0.32049,-0.31623,-0.31124296,-0.30555705,-0.29922,-0.29226,-0.28472,-0.27664,-0.26806,-0.25902,-0.24955551,-0.23970385,-0.22951,-0.219,-0.20822028,-0.19721147,-0.1860098,-0.17465,-0.16318,-0.15163336,-0.14005
1079,RUVBL1,1,0,170.092,9.9916e-36,6.6754e-32,-0.21297,-0.1974889,-0.1820444,-0.16667,-0.1514,-0.13626,-0.12129412,-0.10653468,-0.09201501,-0.077769,-0.063832,-0.050237,-0.037019,-0.02421187,-0.01185,3.2265e-05,0.011401,0.022221,0.03246,0.04208125,0.05105218,0.059338,0.066905,0.073718,0.079743,0.084946,0.089293,0.09275569,0.095321,0.096981,0.097726,0.097546,0.096433,0.094377,0.0913693,0.08740013,0.082461,0.076541,0.069633,0.061727,0.05284254,0.04304739,0.032414,0.021016,0.0089248,-0.0037863,-0.017045,-0.03077741,-0.044912,-0.059376,-0.07409682,-0.08900129,-0.10402,-0.11907,-0.13409,-0.14900447,-0.16374,-0.17822,-0.19237644,-0.20614,-0.21942454,-0.23217059,-0.24430107,-0.25574,-0.26642,-0.27627234,-0.28521,-0.29317625,-0.3000871,-0.30587,-0.31046319,-0.31378308,-0.31576062,-0.31633687,-0.31553353,-0.31340166,-0.30999234,-0.30536,-0.29955,-0.29261074,-0.2846,-0.27557,-0.2655717,-0.25465105,-0.24286,-0.23025,-0.21688,-0.20279,-0.18804,-0.17267,-0.15674549,-0.1403063,-0.12341,-0.1061,-0.08843385,-0.07046174,-0.05223413,-0.033802,-0.015217,0.00347064,0.022209
1080,SPCS1,0,0,212.405,8.0721e-45,5.5237e-41,-0.27539,-0.2621351,-0.2489129,-0.23575,-0.22268,-0.20973,-0.19693335,-0.18431732,-0.17191346,-0.15975,-0.14786,-0.13628,-0.12503,-0.11413726,-0.10364,-0.093573,-0.083957,-0.074827,-0.066211,-0.05814144,-0.0506475,-0.04376,-0.037508,-0.031924,-0.027036,-0.022876,-0.019474,-0.0168506,-0.015002,-0.01392,-0.013595,-0.01402,-0.015186,-0.017085,-0.01970743,-0.02304595,-0.027092,-0.031836,-0.037272,-0.043389,-0.05016838,-0.05757399,-0.065566,-0.074107,-0.083157,-0.092677,-0.10263,-0.11297227,-0.12367,-0.13468,-0.14597105,-0.15749665,-0.16922,-0.1811,-0.19311,-0.20519265,-0.21732,-0.22945,-0.24154959,-0.25357,-0.26548308,-0.27724189,-0.28881023,-0.30015,-0.31122,-0.32198387,-0.3324,-0.34243478,-0.35204417,-0.36119,-0.3698365,-0.3779417,-0.38546777,-0.39238262,-0.39869408,-0.40442445,-0.4095961,-0.41423,-0.41835,-0.42198219,-0.42514,-0.42786,-0.43014432,-0.43203066,-0.43354,-0.43469,-0.4355,-0.436,-0.43621,-0.43615,-0.43584849,-0.43532114,-0.43459,-0.43369,-0.43262164,-0.43142382,-0.43011425,-0.42872,-0.42725,-0.42573857,-0.42421
1081,GTF2A2,1,0,185.159,5.8132e-39,3.9169e-35,-0.25415,-0.2374284,-0.2207428,-0.20414,-0.18764,-0.17131,-0.1551712,-0.13926609,-0.12363414,-0.10831,-0.093346,-0.078768,-0.064618,-0.05093772,-0.037764,-0.025137,-0.013095,-0.001678,0.009076,0.01912758,0.02843769,0.036967,0.044677,0.051529,0.057483,0.062501,0.066543,0.06958887,0.071672,0.072832,0.07311,0.072549,0.071187,0.069068,0.06623165,0.06271901,0.058571,0.05383,0.048535,0.042728,0.03644579,0.0297136,0.022558,0.015004,0.0070778,-0.0011946,-0.0097876,-0.01867545,-0.027832,-0.037233,-0.04685028,-0.05665972,-0.066635,-0.076751,-0.086981,-0.0972993,-0.10768,-0.1181,-0.12852914,-0.13894,-0.14931962,-0.1596287,-0.16984597,-0.17995,-0.1899,-0.19968921,-0.20928,-0.21865312,-0.22777826,-0.23663,-0.24518607,-0.25341718,-0.26129872,-0.26880928,-0.2759531,-0.28274375,-0.28919481,-0.29532,-0.30113,-0.3066463,-0.31187,-0.31683,-0.3215305,-0.32598478,-0.33021,-0.33421,-0.33802,-0.34163,-0.34506,-0.34834,-0.35145968,-0.35444694,-0.35731,-0.36007,-0.36272955,-0.3653093,-0.36782114,-0.37028,-0.3727,-0.37508499,-0.37746
1082,UQCRC2,0,0,222.536,5.3347e-47,3.6623e-43,-0.18158,-0.1711852,-0.1608186,-0.1505,-0.14025,-0.1301,-0.12007198,-0.11018512,-0.10046615,-0.090939,-0.081628,-0.072556,-0.063749,-0.05522912,-0.047021,-0.039149,-0.031637,-0.024508,-0.017787,-0.01149776,-0.00566425,-0.00031042,0.0045397,0.0088622,0.012633,0.015828,0.018424,0.02040042,0.02175,0.022468,0.022548,0.021986,0.020775,0.01891,0.01638667,0.01319874,0.009341,0.0048081,-0.00040547,-0.0063048,-0.0128803,-0.02009663,-0.027916,-0.0363,-0.045212,-0.054613,-0.064466,-0.07473224,-0.085374,-0.096355,-0.10763495,-0.11917753,-0.13094,-0.1429,-0.155,-0.1672134,-0.1795,-0.19182,-0.20413912,-0.21642,-0.22861642,-0.24069955,-0.25262851,-0.26437,-0.27587,-0.28711187,-0.29805,-0.30863593,-0.31884493,-0.32863,-0.33796761,-0.34680556,-0.35511078,-0.36285191,-0.37003568,-0.37668272,-0.38281368,-0.38845,-0.39361,-0.39831649,-0.40259,-0.40645,-0.4099177,-0.41301409,-0.41576,-0.41817,-0.42028,-0.4221,-0.42364,-0.42495,-0.42601857,-0.42688548,-0.42757,-0.42808,-0.42845401,-0.42870161,-0.428846,-0.42891,-0.42891,-0.42886628,-0.4288
1083,POLR2F,1,0,227.241,5.1831e-48,3.566e-44,-0.29959,-0.2774542,-0.2553733,-0.2334,-0.21157,-0.18995,-0.16859296,-0.14754097,-0.12684911,-0.10657,-0.086752,-0.067449,-0.048712,-0.0305925,-0.013142,0.0035886,0.019547,0.034683,0.048944,0.06227851,0.07463586,0.085964,0.096212,0.10533,0.11326,0.11996,0.12537,0.12946824,0.13228,0.13386,0.13425,0.13348,0.13161,0.12868,0.12473754,0.1198193,0.11397,0.10724,0.099673,0.091308,0.08219392,0.07238174,0.061923,0.050867,0.039267,0.027173,0.014637,0.00170873,-0.01156,-0.025118,-0.03891425,-0.05289781,-0.067017,-0.081222,-0.095461,-0.10968233,-0.12384,-0.13787,-0.15173295,-0.16537,-0.17874421,-0.19178981,-0.20446061,-0.21671,-0.22847,-0.23971322,-0.25037,-0.26040421,-0.2697532,-0.27837,-0.28620271,-0.29320104,-0.29931363,-0.30449881,-0.30877025,-0.31216176,-0.31470718,-0.31644,-0.3174,-0.31760538,-0.3171,-0.31593,-0.31410717,-0.31167762,-0.30867,-0.30513,-0.30107,-0.29654,-0.29158,-0.2862,-0.28045651,-0.27437187,-0.26798,-0.26132,-0.25442578,-0.24732584,-0.24005668,-0.23265,-0.22515,-0.21757234,-0.20996
1084,AMD1,0,0,231.929,5.0733e-49,3.4991e-45,-0.084548,-0.0748049,-0.0650846,-0.055409,-0.045802,-0.036284,-0.02687926,-0.01760948,-0.00849737,0.00043455,0.0091637,0.017668,0.025924,0.0339098,0.041603,0.048981,0.056021,0.0627,0.068997,0.07488775,0.08035094,0.085364,0.089903,0.093948,0.097474,0.10046,0.10288,0.10472177,0.10597,0.10662,0.10666,0.10608,0.10488,0.10304,0.10056543,0.09743918,0.093655,0.089205,0.084081,0.078275,0.07179378,0.06467288,0.056949,0.04866,0.039843,0.030535,0.020774,0.010596,3.9291e-05,-0.010859,-0.02206189,-0.0335318,-0.045232,-0.057124,-0.069171,-0.08133678,-0.093583,-0.10587,-0.11816814,-0.13043,-0.14262862,-0.15471887,-0.16666608,-0.17843,-0.18998,-0.20127661,-0.21228,-0.2229515,-0.23325745,-0.24316,-0.25261994,-0.26160189,-0.27006794,-0.27798716,-0.28536595,-0.2922243,-0.29858224,-0.30446,-0.30988,-0.31485373,-0.31941,-0.32357,-0.32734208,-0.33075757,-0.33383,-0.33659,-0.33904,-0.34122,-0.34313,-0.34481,-0.34625906,-0.34751276,-0.34859,-0.3495,-0.35027303,-0.35092623,-0.35147935,-0.35195,-0.35237,-0.35273837,-0.35309
