,HumanGene,MouseGene,correlation
232,FKBP4,Fkbp4,0.9545084131
233,SERBP1,Serbp1,0.9738930113
234,PHB2,Phb2,0.8910841622
235,GTF2H1,Gtf2h1,0.1932731754
236,MRPS14,Mrps14,0.83538585
237,ACSL5,Acsl5,0.8705893713
238,HECTD1,Hectd1,0.9295093281
239,MDN1,Mdn1,0.8549897551
240,SRSF6,Srsf6,0.9793465401
241,EIF4E,Eif4e,0.9686272164
242,NEDD8,Nedd8,0.9782714256
243,RPN1,Rpn1,0.9578811472
244,U2SURP,U2surp,0.9358529695
245,PSMA4,Psma4,0.9479314312
246,MDH2,Mdh2,0.882682236
247,SRSF9,Srsf9,0.8394015461
248,PSMA1,Psma1,0.6829773715
249,TIMM13,Timm13,0.9221113464
250,NOP56,Nop56,0.9327058678
251,NDUFC2,Ndufc2,0.9511431387
252,SSB,Ssb,0.9616036347
253,GNG5,Gng5,0.8645052517
254,SUB1,Sub1,0.8937631701
255,SFPQ,Sfpq,0.9672409011
256,HNRNPAB,Hnrnpab,0.9653209492
257,NPM3,Npm3,0.8947106887
258,RCC1,Rcc1,0.7962331033
259,RPL7L1,Rpl7l1,0.8774921662
260,ABCE1,Abce1,0.869570816
261,TTLL12,Ttll12,0.7888467169
262,CLUH,Cluh,0.9003198877
263,RBM8A,Rbm8a,0.9746172224
264,HPRT1,Hprt,0.9247570138
265,VCP,Vcp,0.9001858683
266,APEX1,Apex1,0.9247592366
267,ITGB1,Itgb1,0.9059409334
268,PAICS,Paics,0.9686559787
269,PABPC4,Pabpc4,0.5531592816
270,HSPD1,Hspd1,0.9126361075
271,HNRNPC,Hnrnpc,0.9652089394
272,WDR5,Wdr5,0.9399251955
273,ATOX1,Atox1,0.6510030096
274,PDS5A,Pds5a,0.9570435611
275,MBD2,Mbd2,0.8267845154
276,UCK2,Uck2,0.9178282579
277,ATP6V1F,Atp6v1f,0.8395651508
278,RYK,Ryk,0.854556075
279,SRRT,Srrt,0.9728115831
280,DDX46,Ddx46,0.73787861
281,SDHD,Sdhd,0.9387308818
282,CLTA,Clta,0.916144039
283,PPP2R1A,Ppp2r1a,0.9108069431
284,FAM96A,Fam96a,0.7477558995
285,TOMM22,Tomm22,0.875666149
286,CCT8,Cct8,0.94976643
287,TOMM40,Tomm40,0.8295109058
288,NOP58,Nop58,0.9385211306
289,MAT2A,Mat2a,0.8417674082
290,DDX39B,Ddx39b,0.9798156689
291,CDK4,Cdk4,0.9659297722
292,REXO2,Rexo2,0.959985712
293,EIF4A3,Eif4a3,0.9215546901
294,LSM2,Lsm2,0.8704083497
295,LGALS3BP,Lgals3bp,0.8315071707
296,UBE2L6,Ube2l6,-0.6274578931
297,SAE1,Sae1,0.8793851442
298,ACTL6A,Actl6a,0.8577605825
299,TRUB2,Trub2,-0.1721222106
300,PSMA3,Psma3,0.8953305007
301,CS,Cs,0.9081564018
302,UBE2L3,Ube2l3,0.9067606704
303,TP53,Trp53,0.7888235231
304,DPY30,Dpy30,0.9406017485
305,PFDN2,Pfdn2,0.8350361127
306,SKP1,Skp1a,0.8579782186
307,NME1,Nme1,0.918527344
308,GART,Gart,0.8675333064
309,CCT4,Cct4,0.9545624892
310,THOC7,Thoc7,0.9176676717
311,DNAJC8,Dnajc8,0.7767104166
312,CAPRIN1,Caprin1,0.9346225753
313,MTHFD1,Mthfd1,0.9099086687
314,NHP2,Nhp2,0.9390567955
315,LYAR,Lyar,0.918029402
316,DDX21,Ddx21,0.8645398628
317,HNRNPF,Hnrnpf,0.9707125657
318,NCL,Ncl,0.9154345234
319,MRPL52,Mrpl52,0.9008159739
320,AHSA1,Ahsa1,0.8157605397
321,NOC2L,Noc2l,0.9167734328
322,M6PR,M6pr,0.8822356052
323,TARDBP,Tardbp,0.9577366793
324,EFTUD2,Eftud2,0.8230923027
325,SHMT2,Shmt2,0.8302985505
326,MRPL18,Mrpl18,0.8238880955
327,EIF2S1,Eif2s1,0.8430566301
328,RAD23B,Rad23b,0.8202234458
329,SF3B5,Sf3b5,0.8333860863
330,EEF1E1,Eef1e1,0.8941703967
331,TPI1,Tpi1,0.8888189517
332,SF3B6,Sf3b6,0.9205141177
333,HSPA9,Hspa9,0.8982118378
334,U2AF2,U2af2,0.9638121418
335,TOMM7,Tomm7,0.9286143061
336,EIF5B,Eif5b,0.8557728375
337,EIF3A,Eif3a,0.9600789574
338,HSPE1,Hspe1,0.9360138514
339,TCP1,Tcp1,0.85764897
340,SNRPD1,Snrpd1,0.9075936777
341,PPIA,Ppia,0.8973124967
342,BRI3BP,Bri3bp,0.7425826595
343,RFWD3,Rfwd3,0.6962164731
344,SRP19,Srp19,0.7889645214
345,FUBP1,Fubp1,0.8857597711
346,ACIN1,Acin1,0.9195095925
347,HSPBP1,Hspbp1,0.8421294009
348,DAP3,Dap3,0.906895246
349,RCL1,Rcl1,0.6612630714
350,NIP7,Nip7,0.8715950117
351,XPO1,Xpo1,0.8432606951
352,SDHA,Sdha,0.8104448163
353,PSME3,Psme3,-0.4390723577
354,RCC2,Rcc2,0.9700355662
355,PSME1,Psme1,0.636369025
356,MINOS1,Minos1,0.8821549293
357,UBE2I,Ube2i,0.9287973466
358,PARK7,Park7,0.863197141
359,CCT3,Cct3,0.8093716422
360,CACYBP,Cacybp,0.8918466247
361,ERH,Erh,0.9368997336
362,SRSF7,Srsf7,0.9369985186
363,RBM3,Rbm3,0.8832847059
364,HNRNPM,Hnrnpm,0.9227341129
365,EIF5A,Eif5a,0.8972763124
366,GATAD2A,Gatad2a,0.7602450773
367,LMAN2,Lman2,0.8595300395
368,CHCHD3,Chchd3,0.9037169436
369,GNB1,Gnb1,0.9566544709
370,SF3B3,Sf3b3,0.8422088978
371,LDB1,Ldb1,0.7038258057
372,ATP13A3,Atp13a3,0.6867501806
373,FARSB,Farsb,0.8494264618
374,EIF4EBP1,Eif4ebp1,0.8525228489
375,CSNK2B,Csnk2b,0.931936874
376,CHD4,Chd4,0.8977484116
377,BZW1,Bzw1,0.7140078915
378,API5,Api5,0.9352131824
379,STRAP,Strap,0.9424923718
380,PLA2G12A,Pla2g12a,0.8792721832
381,DDX18,Ddx18,0.8247655541
382,SF3B2,Sf3b2,0.9808142433
383,TXN2,Txn2,0.9607359232
384,PTBP1,Ptbp1,0.8665005199
385,MCM3,Mcm3,0.7597544187
386,NASP,Nasp,0.912654995
387,BANF1,Banf1,0.9689722933
388,HNRNPR,Hnrnpr,0.9433956228
389,DYNLL1,Dynll1,0.9526288567
390,TRA2B,Tra2b,0.9321835737
391,HNRNPH1,Hnrnph1,0.8209970928
392,PRELID1,Prelid1,0.943478451
393,HNRNPU,Hnrnpu,0.9418993352
394,EIF3I,Eif3i,0.8150389841
395,PRPF19,Prpf19,0.8100467214
396,MRFAP1,Mrfap1,0.9235190588
397,PSMB7,Psmb7,0.8189321133
398,PHF5A,Phf5a,0.8575805755
399,LAMP1,Lamp1,0.9506806537
400,PAPOLA,Papola,0.7219009301
401,STIP1,Stip1,0.8867326488
402,LSM4,Lsm4,0.882643799
403,NUDC,Nudc,0.8701139308
404,DNAJA1,Dnaja1,0.504461217
405,LSM3,Lsm3,0.8400736045
406,FAM120A,Fam120a,0.9333218607
407,CCT7,Cct7,0.9403581735
408,SRP9,Srp9,0.830718361
409,SOD1,Sod1,0.8829202775
410,POLE3,Pole3,0.8111216373
411,UQCRQ,Uqcrq,0.9634538089
412,SUPT16H,Supt16,0.9385393191
413,PRDX3,Prdx3,0.7627039046
414,NDUFA4,Ndufa4,0.9691234918
415,COX7A2,Cox7a2,0.9129967905
416,CCT2,Cct2,0.8468628516
417,TMA7,Tma7,0.9805484753
418,NOP10,Nop10,0.7557935796
419,RPL14,Rpl14,0.9279182356
420,LMNB1,Lmnb1,0.6579106819
421,SYAP1,Syap1,-0.5487888137
422,THRAP3,Thrap3,0.9063012719
423,PPP1R14B,Ppp1r14b,0.8404116731
424,ETF1,Etf1,0.9019312623
425,HSPH1,Hsph1,0.852275674
426,ACSS1,Acss1,0.8272207434
427,SNRNP70,Snrnp70,0.8856489172
428,SRSF11,Srsf11,0.8843829511
429,HNRNPL,Hnrnpl,0.8371653031
430,EIF3B,Eif3b,0.9503699516
431,POMP,Pomp,0.8005503975
432,SNRPD2,Snrpd2,0.8780193514
433,SNRPD3,Snrpd3,0.8989643878
434,TRMT112,Trmt112,0.8045572803
435,EIF4A1,Eif4a1,0.8898039199
436,SF3B4,Sf3b4,0.7735973319
437,SFXN1,Sfxn1,0.613564891
438,PSMD11,Psmd11,0.8905050329
439,PHF10,Phf10,0.9240603834
440,NDUFA8,Ndufa8,0.7364010909
441,UQCR10,Uqcr10,0.9750032596
442,NDUFB8,Ndufb8,0.8022744743
443,PRDX1,Prdx1,0.8430683818
444,SNF8,Snf8,0.4486547228
445,DDX1,Ddx1,0.9011684259
