,gene,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,Group12,Group13,Group14,Group15,statisticsValue,P-value,Adj P-value
736,CSTB,-0.24133,-0.22813,-0.14362,-0.24914,-0.19834,-0.14453,-0.32517,-0.31987,-0.16187,-0.09721,-0.12772,0.07808,-0.06946,-0.19018,-0.22141,107.06458,2.07e-16,1.19e-12
737,CTBP1,-0.31534,-0.24168,-0.16527,-0.19793,-0.19762,-0.11306,-0.24072,-0.38961,-0.12972,-0.09132,-0.12935,-0.04675,-0.19569,-0.11787,0.01882,147.68401,2.09e-24,1.28e-20
738,CTBP2,-0.21932,-0.19699,-0.2116,-0.10145,-0.06321,-0.1008,-0.28941,-0.31169,-0.157,-0.16564,-0.16434,-0.0703,-0.23445,-0.27299,-0.24036,94.65976,4.96e-14,2.73e-10
739,CTD.2006C1.2,-0.04296,-0.0789,-0.05684,-0.06256,-0.07799,-0.09435,0.07425,0.01989,-0.05966,-0.08939,-0.10095,-0.09031,-0.07601,-0.07093,-0.00512,67.56698,5.31e-09,2.53e-05
740,CTD.2020K17.1,-0.05168,-0.0776,-0.05772,-0.06273,-0.07844,-0.09164,0.05701,0.07027,-0.07259,-0.08982,-0.10633,-0.08518,-0.06858,-0.05214,-0.06876,83.9692,5.16e-12,2.72e-08
741,CTD.2090I13.1,0.46049,0.33582,0.31613,-0.10734,0.10264,-0.06347,-0.8924,-0.94076,-0.1916,0.09271,-0.033,-0.15694,0.25706,-0.04519,-0.27002,1763.80018,0.0,0.0
742,CTD.2368P22.1,-0.01364,-0.04584,-0.03979,-0.05662,-0.04709,-0.0817,-0.0433,0.08248,-0.06396,-0.08344,-0.08343,-0.0704,-0.00891,-0.06583,-0.06334,80.54314,2.24e-11,1.16e-07
743,CTDNEP1,-0.25038,-0.17985,-0.16032,-0.13952,-0.07773,-0.07922,-0.45479,-0.50799,-0.14063,-0.14745,-0.08841,0.0258,-0.24232,-0.14179,-0.0908,286.96659,6.14e-53,4.13e-49
744,CTDSPL,-0.13876,-0.05928,-0.19078,0.23516,0.11596,-0.13429,-0.22248,-0.20721,-0.20768,-0.15086,-0.1605,-0.2009,-0.20903,-0.23275,-0.23371,62.62624,4.04e-08,0.000185
745,CTNNA1,-0.19923,-0.18455,-0.21068,-0.12919,-0.14088,-0.06104,-0.09029,-0.17919,-0.22774,-0.20434,-0.21722,-0.17195,-0.21518,-0.22713,-0.22459,69.00535,2.92e-09,1.41e-05
746,CTNNAL1,-0.19187,-0.15612,-0.16058,-0.15145,-0.16719,-0.04199,-0.07297,-0.12408,-0.16242,-0.137,-0.06983,-0.14858,-0.16637,-0.17389,-0.13064,50.39049,5.25e-06,0.0208
747,CTNNBL1,-0.24279,-0.1534,-0.23123,-0.10088,0.13028,-0.07089,-0.20745,-0.20919,-0.08379,-0.20705,-0.19725,-0.17676,-0.23985,-0.24332,-0.20468,90.99428,2.46e-13,1.33e-09
748,CTSA,-0.18948,-0.19468,-0.20998,-0.15771,-0.20244,-0.18257,-0.18188,-0.13781,-0.17954,-0.16959,0.19476,0.10749,-0.21676,-0.20882,-0.21058,207.16786,1.88e-36,1.21e-32
749,CTSB,-0.23032,-0.20434,-0.21315,-0.22232,-0.20267,-0.14041,-0.02716,0.26094,-0.125,-0.19056,-0.19015,-0.10564,-0.21292,-0.20457,-0.01732,225.19759,3.75e-40,2.45e-36
750,CTSC,-0.30248,-0.20958,-0.15219,-0.0958,-0.08926,-0.18832,-0.35263,-0.33914,-0.08088,0.00405,0.16924,0.14187,-0.15124,-0.20669,-0.01657,374.85259,2.49e-71,1.72e-67
751,CTSD,-0.20769,-0.23518,-0.18428,-0.21888,-0.23048,-0.2321,-0.24492,-0.33561,-0.10443,-0.14337,0.41463,0.06795,-0.13593,-0.31726,-0.18317,543.27597,6.1e-107,4.35e-103
752,CTSE,-0.23592,-0.23592,-0.2337,-0.23592,-0.23592,-0.07387,0.09286,-0.07021,-0.23592,-0.23592,-0.20922,-0.23592,-0.23592,-0.23592,-0.23592,105.97514,3.36e-16,1.92e-12
753,CTSG,-0.284,-0.2833,-0.28333,-0.28212,-0.28123,-0.27245,-0.27049,-0.25924,-0.19541,-0.23582,1.4418,-0.06407,-0.28326,-0.27953,-0.27853,2021.21514,0.0,0.0
754,CTSL,-0.23545,-0.23709,-0.23666,-0.2352,-0.2184,-0.11768,0.163,0.2167,-0.23709,-0.23419,-0.22906,-0.2163,-0.23709,-0.23581,-0.23422,244.14836,4.66e-44,3.08e-40
755,CTSS,-0.09969,-0.12624,-0.12903,-0.19971,-0.09318,-0.24217,-0.26256,-0.24256,-0.20828,-0.06878,-0.09579,0.30867,-0.09995,-0.14925,0.0993,197.81444,1.53e-34,9.83e-31
756,CTSW,-0.22395,-0.19918,-0.16948,-0.09751,-0.14107,-0.2075,-0.31755,-0.28067,-0.07001,-0.09194,0.00609,-0.10847,-0.21938,-0.24941,-0.24069,108.00982,1.36e-16,7.81e-13
757,CUTA,-0.27622,-0.19628,-0.14692,-0.16466,-0.12038,-0.0669,-0.36347,-0.32115,-0.16393,-0.14873,-0.0593,-0.14421,-0.2293,-0.20252,-0.28638,185.57924,4.77e-32,3.03e-28
758,CUX1,-0.16596,-0.15441,-0.14026,-0.12289,-0.13339,-0.18903,-0.24523,-0.29373,-0.08589,-0.07859,-0.15563,-0.12243,-0.14188,-0.03254,-0.21601,63.52487,2.8e-08,0.000129
759,CWC15,-0.27133,-0.21163,-0.21735,-0.16348,-0.19115,-0.07665,-0.31138,-0.30401,-0.25747,-0.17785,-0.13633,-0.10338,-0.19776,-0.25061,-0.23358,104.88592,5.45e-16,3.1e-12
760,CWF19L1,-0.10277,-0.1206,-0.12688,-0.12916,-0.13842,-0.11312,-0.09828,0.01882,-0.12612,-0.11506,-0.09589,-0.08976,-0.11577,-0.1157,-0.11255,62.29749,4.62e-08,0.00021
761,CXCR4,-0.14796,-0.15496,-0.09411,-0.17171,-0.14727,-0.1927,-0.22412,-0.19506,1.66491,-0.06554,-0.0971,0.17303,-0.05611,0.10655,0.29618,527.66614,1.26e-103,8.94e-100
762,CXXC5,-0.18724,-0.11481,-0.0835,-0.2219,-0.14466,-0.05994,-0.27866,-0.32583,-0.17897,-0.2179,-0.33454,-0.31653,-0.03644,-0.05969,-0.00993,212.25708,1.7e-37,1.11e-33
763,CXorf38,-0.07229,-0.10559,-0.11347,-0.10909,-0.11113,-0.12524,-0.02317,0.0128,-0.11092,-0.11394,-0.07961,-0.07788,-0.11149,-0.11077,-0.11735,64.08912,2.22e-08,0.000103
764,CYB561D2,-0.00695,-0.05478,-0.06961,-0.0372,-0.09934,-0.10468,0.02649,-0.00289,-0.09472,-0.10094,-0.07727,-0.07296,-0.0242,-0.05378,-0.03742,85.87863,2.26e-12,1.2e-08
765,CYB5A,-0.27128,-0.24568,-0.20361,-0.18624,-0.25361,-0.01124,-0.12845,-0.23608,-0.23368,-0.13091,-0.21343,-0.19218,-0.23643,-0.20537,-0.2023,138.13207,1.67e-22,1.01e-18
766,CYB5B,-0.23913,-0.19623,-0.21041,-0.09365,-0.12435,-0.14646,-0.24507,-0.23473,-0.04122,-0.12095,-0.10412,-0.02828,-0.18801,-0.15215,0.01039,69.75804,2.13e-09,1.04e-05
767,CYB5RL,-0.05142,-0.08764,-0.09105,-0.09496,-0.08795,-0.10009,-0.0724,0.01948,-0.10099,-0.11139,-0.11214,-0.1144,-0.06625,-0.06167,-0.09846,72.55978,6.61e-10,3.27e-06
768,CYBA,-0.15032,-0.16377,-0.12484,-0.1534,-0.16083,-0.18337,-0.17254,-0.14745,-0.11141,-0.0419,0.07912,0.18642,-0.13787,-0.1487,-0.02,151.53921,3.54e-25,2.18e-21
769,CYBB,-0.07457,-0.06321,-0.04453,-0.04186,-0.08554,-0.04349,0.02598,0.15927,-0.02974,-0.08051,0.03288,0.08551,-0.02444,-0.00617,0.31486,51.15205,3.91e-06,0.0157
770,CYC1,-0.36823,-0.33363,-0.27965,-0.23183,-0.24238,0.00384,-0.19194,-0.33988,-0.2755,-0.1903,-0.18865,-0.1686,-0.25333,-0.33276,-0.28239,254.38643,3.56e-46,2.36e-42
771,CYCS,-0.39382,-0.33422,-0.32197,-0.10438,-0.12668,0.02805,-0.35044,-0.39778,-0.20703,-0.15694,-0.12603,-0.1248,-0.31381,-0.24695,-0.18903,354.37934,4.96e-67,3.41e-63
772,CYFIP2,-0.10798,-0.11472,-0.01525,-0.1974,-0.15504,-0.27206,-0.31353,-0.3095,-0.06984,-0.01265,-0.10351,-0.22876,0.21544,0.94757,0.46973,417.84765,2.19e-80,1.53e-76
773,CYGB,-0.0952,-0.08128,-0.10323,-0.10162,-0.09535,-0.11026,-0.10588,-0.11903,-0.09719,-0.06681,-0.10876,-0.11883,-0.05831,2.0446,-0.07796,435.31709,4.5e-84,3.15e-80
774,CYP20A1,-0.02782,-0.07229,-0.07352,-0.10898,-0.07039,-0.09803,0.02096,0.05686,-0.07279,-0.09294,-0.09318,-0.09886,-0.05723,-0.05967,-0.05286,96.10416,2.63e-14,1.45e-10
775,CYTL1,-0.01457,0.21124,-0.23859,0.06668,0.4572,-0.00904,-0.41489,-0.41221,-0.2561,-0.27605,-0.31121,-0.32169,-0.24849,-0.37289,-0.37308,435.13398,4.92e-84,3.45e-80
776,DAAM1,-0.29115,-0.2648,-0.26745,0.02112,-0.22544,-0.02708,0.38392,-0.11058,-0.25554,-0.27158,-0.24503,-0.25788,-0.26861,-0.26174,-0.17201,257.33553,8.72e-47,5.8e-43
777,DAG1,-0.04545,-0.05059,-0.07182,-0.13022,-0.0938,-0.08187,-0.0341,0.03831,-0.09085,-0.09114,-0.11612,-0.11181,-0.08775,-0.03885,-0.08119,86.27679,1.91e-12,1.01e-08
778,DAGLB,-0.07429,-0.06288,-0.1008,-0.14558,-0.12059,-0.11234,0.05337,0.01727,-0.09539,-0.09029,-0.03271,-0.07334,-0.09397,-0.09365,-0.08359,58.84731,1.87e-07,0.000821
779,DANCR,-0.31172,-0.28937,-0.21358,-0.26759,-0.19171,0.03303,-0.41324,-0.38449,-0.28941,-0.17969,-0.18419,-0.25538,-0.28263,-0.19967,-0.27356,351.6911,1.82e-66,1.25e-62
780,DAP,-0.17048,-0.14353,-0.10821,-0.09037,-0.15879,-0.17157,-0.22305,-0.19047,-0.14768,-0.08886,0.0071,0.13911,-0.11144,-0.14748,-0.06618,107.86692,1.45e-16,8.32e-13
781,DAP3,-0.25791,-0.21286,-0.20926,-0.23711,-0.12496,-0.05611,-0.27169,-0.31392,-0.23532,-0.17624,-0.13621,-0.12793,-0.21284,-0.21625,-0.198,113.53716,1.15e-17,6.69e-14
782,DAPK1,-0.03592,0.01586,-0.05799,-0.06163,0.04755,-0.16771,-0.22359,-0.18421,-0.06378,-0.11918,-0.19654,-0.16223,-0.07674,-0.15095,-0.13799,57.76195,2.88e-07,0.00126
783,DAPP1,-0.06732,-0.08317,-0.08858,-0.09254,-0.07964,-0.107,-0.05986,0.07663,-0.09315,-0.08621,-0.0786,0.02289,-0.08482,-0.08453,-0.05693,71.94416,8.56e-10,4.23e-06
784,DARS,-0.22115,-0.18726,-0.06908,0.03654,0.08562,-0.06163,-0.49895,-0.52,-0.34589,-0.03144,-0.11598,-0.08145,-0.08915,-0.18778,-0.24817,406.96929,4.31e-78,3e-74
785,DAZAP1,-0.35214,-0.30499,-0.25611,-0.22051,-0.20212,-0.03806,-0.25583,-0.33444,-0.24637,-0.15295,-0.14105,-0.06896,-0.28737,-0.22132,-0.17025,183.58938,1.21e-31,7.66e-28
786,DAZAP2,-0.1036,-0.18918,-0.16894,-0.00935,-0.09855,-0.1794,-0.4473,-0.39738,0.02639,-0.16407,0.04284,0.12112,-0.20547,-0.17238,-0.00996,245.06464,3.01e-44,1.99e-40
787,DBI,-0.26749,-0.1867,-0.11445,-0.18876,-0.10694,-0.23312,-0.36874,-0.28238,0.17184,0.10583,0.09714,0.40661,-0.06429,-0.09642,0.41216,487.74365,3.67e-95,2.59e-91
788,DBNL,-0.22404,-0.20893,-0.22007,-0.17634,-0.18546,-0.16601,-0.22287,-0.17629,-0.13978,-0.15351,-0.04154,0.03646,-0.20934,-0.20223,0.01306,66.71073,7.56e-09,3.58e-05
789,DBT,-0.02288,-0.07311,-0.07458,-0.08143,-0.07519,-0.09981,-0.04378,0.02642,-0.08039,-0.09435,-0.09574,-0.09581,-0.01289,-0.06456,-0.08577,70.42623,1.62e-09,7.9e-06
790,DCAF11,-0.24873,-0.24887,-0.24496,-0.25222,-0.20691,-0.13232,0.21704,0.20496,-0.22495,-0.24375,-0.22052,-0.2303,-0.24181,-0.24934,-0.25378,252.40637,9.14e-46,6.06e-42
791,DCAF12,-0.17035,-0.17666,-0.16325,-0.17551,-0.17212,-0.16095,-0.13383,0.34378,-0.16809,-0.17006,-0.17529,-0.17397,-0.15335,-0.17327,-0.15749,298.42078,2.52e-55,1.71e-51
792,DCAF6,-0.19206,-0.18544,-0.18378,-0.1476,-0.14734,-0.07424,-0.06835,-0.03622,-0.1842,-0.17979,-0.1543,-0.16131,-0.18643,-0.18488,-0.15596,49.33384,7.89e-06,0.0308
793,DCAF7,-0.27007,-0.17976,-0.18489,-0.15806,-0.15075,-0.09483,-0.33767,-0.37479,-0.13136,-0.14983,-0.10361,-0.07003,-0.1773,-0.17379,-0.11196,127.88298,1.78e-20,1.06e-16
794,DCK,-0.27711,-0.26066,-0.21129,-0.18557,-0.21966,-0.12958,0.2687,-0.02798,-0.21616,-0.22106,-0.27262,-0.2285,-0.16375,-0.01848,0.0572,152.58156,2.19e-25,1.35e-21
795,DCP1B,-0.03903,-0.03806,-0.06699,-0.07887,-0.08549,-0.074,0.08068,0.11224,-0.05831,-0.07402,-0.0846,-0.07823,-0.0621,-0.0306,-0.05314,114.37037,7.91e-18,4.61e-14
796,DCTD,-0.15968,-0.1729,-0.12589,-0.15686,-0.07708,-0.11794,-0.30519,-0.31086,-0.20489,-0.10582,-0.16037,-0.17371,-0.16331,-0.14766,-0.16141,101.47479,2.47e-15,1.39e-11
797,DCTN1,-0.23478,-0.22323,-0.19774,-0.10725,-0.10131,-0.12393,-0.19517,-0.2119,-0.20485,-0.10183,-0.09993,-0.0894,-0.17372,-0.21122,-0.19657,50.41766,5.2e-06,0.0206
798,DCTN2,-0.22446,-0.20716,-0.18191,-0.22239,-0.22187,-0.11097,-0.26122,-0.26855,-0.20142,-0.17949,-0.13844,-0.13386,-0.24216,-0.24555,-0.17409,52.33357,2.47e-06,0.0101
799,DCUN1D1,-0.16576,-0.17286,-0.16394,-0.12154,-0.13973,-0.097,-0.05584,0.14977,-0.13631,-0.16642,-0.154,-0.14161,-0.15995,-0.14629,-0.14355,109.98275,5.64e-17,3.25e-13
800,DCUN1D4,-0.04359,-0.05209,-0.07424,-0.0883,-0.13237,-0.08903,-0.03353,0.01209,-0.08163,-0.08191,-0.10463,-0.11487,-0.09572,-0.07487,-0.00576,63.12502,3.3e-08,0.000151
801,DCUN1D5,-0.0967,-0.12121,-0.12752,-0.1457,-0.12668,-0.08605,-0.05264,0.00548,-0.13189,-0.13466,-0.12813,-0.14263,-0.13479,-0.09684,-0.12526,69.39606,2.48e-09,1.2e-05
802,DDAH2,-0.08158,0.06396,-0.03468,0.08292,0.09907,-0.22295,-0.18161,-0.24326,-0.10205,-0.14133,-0.18478,-0.15786,-0.11083,-0.07646,0.04101,99.6843,5.45e-15,3.06e-11
803,DDB1,-0.31356,-0.21515,-0.22513,-0.26322,-0.17979,-0.06287,-0.0035,-0.08225,-0.20046,-0.14534,-0.20256,-0.20271,-0.23322,-0.18479,-0.21059,101.1074,2.91e-15,1.64e-11
804,DDI2,-0.30372,-0.28803,-0.29338,-0.26091,-0.20696,0.00072,0.02232,0.05985,-0.23232,-0.25554,-0.27102,-0.20349,-0.2774,-0.27553,-0.23097,291.18716,8.11e-54,5.47e-50
805,DDIT4,-0.03224,-0.06625,-0.06132,-0.05279,-0.07434,-0.03916,-0.00875,0.05665,-0.03601,-0.05997,-0.08337,-0.07224,-0.03393,-0.03282,-0.03844,59.51135,1.43e-07,0.000633
806,DDOST,-0.34414,-0.3382,-0.2501,-0.32886,-0.21949,-0.22026,-0.37056,-0.41463,-0.09231,-0.0336,0.3543,0.11463,-0.19683,-0.26985,-0.07327,583.63624,1.61e-115,1.15e-111
807,DDT,-0.31376,-0.19209,-0.18502,-0.21314,-0.21897,-0.04664,-0.29425,-0.38847,-0.21237,-0.17482,-0.10313,-0.10627,-0.25207,-0.24553,-0.16015,181.94762,2.61e-31,1.65e-27
808,DDX1,-0.26759,-0.21169,-0.22886,-0.18486,-0.19643,-0.01204,-0.17268,-0.26106,-0.20873,-0.16577,-0.19387,-0.22783,-0.24463,-0.22691,-0.26312,148.00448,1.8e-24,1.11e-20
809,DDX11,-0.095,-0.11123,-0.11269,-0.11932,-0.09774,-0.10695,-0.05326,0.00651,-0.11248,-0.11367,-0.10502,-0.12081,-0.11363,-0.11327,-0.11742,49.79253,6.61e-06,0.026
810,DDX17,-0.15183,-0.21824,-0.1498,0.03175,-0.05915,-0.13956,0.10701,-0.30008,-0.1125,-0.14903,-0.26575,-0.13763,-0.12633,-0.10201,0.01007,81.82132,1.3e-11,6.77e-08
811,DDX18,-0.29849,-0.2299,-0.23508,-0.1821,-0.10062,-0.01829,-0.343,-0.34782,-0.20425,-0.13429,-0.14333,-0.13469,-0.25353,-0.28114,-0.21436,214.73407,5.29e-38,3.44e-34
812,DDX19B,-0.0161,-0.0486,-0.07485,-0.09322,-0.08353,-0.09781,-0.00073,0.03171,-0.08833,-0.0887,-0.09119,-0.10057,-0.07128,-0.06411,-0.08748,86.249,1.93e-12,1.03e-08
813,DDX20,-0.05631,-0.10445,-0.11119,-0.09306,-0.07844,-0.10221,-0.08594,-0.01098,-0.10043,-0.11384,-0.12217,-0.11927,-0.11424,-0.09881,-0.10843,62.04106,5.13e-08,0.000233
814,DDX21,-0.43617,-0.3198,-0.27264,-0.14827,-0.13387,0.07572,-0.51727,-0.59013,-0.25066,-0.05733,-0.0892,0.0126,-0.32966,-0.2441,-0.38,729.03254,1.63e-146,1.18e-142
815,DDX24,-0.26687,-0.22371,-0.22682,-0.13406,-0.25225,-0.0449,-0.25008,-0.31698,-0.23243,-0.147,-0.2137,-0.16434,-0.22556,-0.24259,-0.16584,142.94666,1.84e-23,1.12e-19
816,DDX39A,-0.26314,-0.24502,-0.24065,-0.22362,-0.24681,-0.06847,-0.17059,-0.25278,-0.21439,-0.15353,-0.12385,-0.13054,-0.25398,-0.23932,-0.16372,93.84681,7.09e-14,3.88e-10
817,DDX39B,-0.31789,-0.20226,-0.1795,-0.12522,-0.08735,-0.00128,-0.3276,-0.55621,-0.18639,-0.08008,-0.20172,-0.08233,-0.22188,-0.17976,-0.13529,401.08803,7.48e-77,5.2e-73
818,DDX41,-0.25564,-0.26329,-0.24541,-0.18067,-0.20298,-0.08357,-0.23821,-0.23098,-0.21911,-0.12679,-0.12869,-0.14304,-0.25431,-0.24334,-0.24599,85.14374,3.11e-12,1.65e-08
819,DDX42,-0.26131,-0.1938,-0.19411,-0.19682,-0.23568,-0.07789,-0.27972,-0.35326,-0.16979,-0.09348,-0.20492,-0.17723,-0.14515,-0.19445,-0.24432,120.69515,4.6e-19,2.71e-15
820,DDX46,-0.30855,-0.25951,-0.21457,-0.11314,-0.22102,-0.04165,-0.22188,-0.36462,-0.20808,-0.14677,-0.14341,-0.12511,-0.21696,-0.20284,-0.20124,169.06235,1.06e-28,6.64e-25
821,DDX5,-0.31711,-0.21964,-0.23371,-0.19982,-0.16494,-0.00818,-0.17945,-0.45476,-0.1213,-0.12765,-0.33146,0.00043,-0.17995,0.08344,0.48126,364.62427,3.51e-69,2.42e-65
822,DDX50,-0.22134,-0.15464,-0.16589,-0.12105,-0.11972,-0.09324,-0.27071,-0.23767,-0.21686,-0.11345,-0.15621,-0.17042,-0.1701,-0.19024,-0.19437,62.50385,4.25e-08,0.000194
823,DDX51,-0.05776,-0.07469,-0.09273,-0.10099,-0.10429,-0.10295,0.0296,0.09285,-0.09978,-0.09076,-0.09122,-0.0893,-0.10107,-0.09372,-0.10281,127.12491,2.51e-20,1.5e-16
824,DDX54,-0.26366,-0.22642,-0.20949,-0.1878,-0.177,-0.08405,-0.252,-0.23191,-0.20514,-0.15205,-0.14947,-0.15798,-0.23519,-0.20874,-0.26197,76.67864,1.16e-10,5.91e-07
825,DDX56,-0.02243,-0.09908,-0.09328,-0.1035,-0.109,-0.10064,-0.03034,0.05807,-0.10023,-0.1011,-0.10524,-0.10345,-0.05076,-0.09343,-0.10698,106.29107,2.92e-16,1.67e-12
826,DDX59,-0.06056,-0.06184,-0.07417,-0.06802,-0.06573,-0.09783,-0.03625,0.03888,-0.08087,-0.09213,-0.0889,-0.08511,-0.07617,-0.07526,-0.08546,58.07643,2.54e-07,0.00111
827,DDX60L,-0.01683,-0.03123,-0.04646,-0.05855,-0.05433,-0.06443,0.02701,0.10216,-0.05702,-0.06196,-0.06718,-0.07146,-0.03286,-0.03116,-0.04307,67.05442,6.56e-09,3.12e-05
828,DECR1,-0.24787,-0.17625,-0.20407,-0.18086,-0.20247,-0.0162,-0.24975,-0.23603,-0.20702,-0.18251,-0.18251,-0.1453,-0.22624,-0.19394,-0.15835,126.58191,3.21e-20,1.91e-16
829,DEDD,-0.03318,-0.05783,-0.08,-0.08643,-0.07301,-0.09315,0.01076,0.06464,-0.08484,-0.09784,-0.09749,-0.0885,-0.08452,-0.06867,-0.08894,88.44992,7.44e-13,3.99e-09
830,DEFA3,-0.09925,-0.09925,-0.09925,-0.09765,-0.09925,-0.0987,-0.09755,-0.09678,-0.07962,-0.09925,0.05408,-0.0985,-0.09925,-0.09925,-0.09925,242.40443,1.07e-43,7.04e-40
831,DEFA4,-0.16006,-0.15957,-0.16014,-0.16014,-0.15997,-0.15816,-0.15562,-0.14865,-0.15339,-0.15786,0.18707,-0.159,-0.15988,-0.15948,-0.15964,202.62791,1.6e-35,1.03e-31
832,DEFB1,-0.06329,-0.06329,-0.06329,-0.06329,-0.06329,-0.0563,-0.05014,-0.0037,-0.06329,-0.05943,0.0803,0.02362,-0.06329,-0.06168,-0.05967,112.36774,1.94e-17,1.13e-13
833,DEGS1,-0.27612,-0.27371,-0.19907,-0.15174,-0.1003,-0.11488,-0.231,-0.27412,-0.20134,-0.12277,-0.11045,-0.04844,-0.21865,-0.26911,-0.16396,82.87362,8.26e-12,4.33e-08
834,DEK,-0.36997,-0.25196,-0.24379,-0.16008,-0.22229,-0.01877,0.4396,-0.32272,-0.19895,-0.20003,-0.24322,-0.24201,-0.23343,-0.30394,-0.10642,268.54785,4.13e-49,2.76e-45
835,DENND3,-0.09246,-0.10255,-0.14942,-0.14838,-0.14574,-0.15853,-0.19455,-0.0823,-0.11108,-0.08356,0.08978,-0.00107,-0.14805,-0.11076,-0.13846,57.76975,2.88e-07,0.00125
836,DENND4A,-0.17994,-0.1748,-0.17706,-0.16477,-0.14925,-0.10093,-0.04038,0.0721,-0.17014,-0.16118,-0.14882,-0.12799,-0.17943,-0.17453,-0.16988,74.32635,3.14e-10,1.58e-06
837,DENND4C,-0.06159,-0.07522,-0.09893,-0.08514,-0.08759,-0.10327,-0.01857,0.02856,-0.09031,-0.10434,-0.09309,-0.10133,-0.09203,-0.07302,-0.09104,72.6266,6.43e-10,3.19e-06
838,DENND6A,-0.06462,-0.10973,-0.1237,-0.12658,-0.12967,-0.10876,-0.07254,-0.03255,-0.1231,-0.12576,-0.12137,-0.10839,-0.12327,-0.11088,-0.13572,50.85217,4.39e-06,0.0176
839,DENR,-0.24818,-0.14611,-0.14764,-0.07375,-0.12599,-0.12262,-0.31249,-0.2908,-0.15126,-0.12849,-0.14449,-0.12464,-0.21842,-0.17775,-0.19917,83.95563,5.19e-12,2.73e-08
840,DESI2,-0.0725,-0.11523,-0.10593,-0.11627,-0.08188,-0.11401,-0.04272,0.00757,-0.11408,-0.11464,-0.12273,-0.1122,-0.11497,-0.1097,-0.11587,70.98472,1.28e-09,6.28e-06
841,DET1,-0.01647,-0.03541,-0.06313,-0.06608,-0.07524,-0.08743,-0.01357,0.0881,-0.06244,-0.07891,-0.08037,-0.07574,-0.04216,-0.01434,-0.04153,112.82757,1.58e-17,9.18e-14
842,DEXI,-0.20961,-0.2101,-0.21715,-0.19986,-0.19172,-0.03772,-0.19402,-0.09168,-0.19456,-0.20985,-0.14195,-0.2119,-0.21734,-0.21132,-0.19436,52.1857,2.62e-06,0.0106
843,DGKA,-0.05724,-0.05704,-0.06459,-0.09362,-0.1278,-0.10213,-0.01542,0.00513,-0.07904,-0.10171,-0.10245,-0.09845,-0.08541,-0.08656,-0.10239,57.52962,3.17e-07,0.00137
844,DGUOK,-0.28775,-0.2178,-0.21255,-0.06636,-0.15083,-0.08691,-0.32335,-0.33537,-0.17218,-0.15637,-0.13574,-0.1186,-0.24875,-0.26099,-0.18717,121.36874,3.39e-19,2e-15
845,DHFR,-0.50398,-0.40943,-0.28169,-0.32727,-0.36498,0.05649,0.43071,-0.32131,-0.20324,-0.225,-0.24532,-0.30164,-0.31416,-0.22481,-0.16126,534.2303,5.08e-105,3.62e-101
846,DHRS13,-0.18695,-0.19736,-0.19086,-0.16832,-0.18328,-0.10166,0.24998,-0.05973,-0.18795,-0.20439,-0.19359,-0.20712,-0.20761,-0.18142,-0.20592,94.44643,5.45e-14,2.99e-10
847,DHRS7,-0.18736,-0.18392,-0.13926,-0.1724,-0.17725,-0.19878,-0.19755,-0.23583,-0.12623,-0.13802,0.08038,-0.0036,-0.16629,-0.17991,-0.13496,124.2799,9.1e-20,5.4e-16
848,DHX15,-0.30702,-0.20967,-0.19513,-0.11519,-0.13912,-0.0558,-0.24015,-0.38079,-0.11642,-0.15308,-0.15339,-0.11807,-0.17812,-0.09867,-0.13145,159.74098,8e-27,4.98e-23
849,DHX35,-0.01823,-0.02719,-0.04418,-0.0617,-0.0511,-0.06676,0.08365,0.06016,-0.04593,-0.06933,-0.09774,-0.08363,-0.06065,0.01254,-0.08273,92.04895,1.55e-13,8.45e-10
850,DHX36,-0.2087,-0.19516,-0.18687,-0.21684,-0.09314,-0.07473,-0.20646,-0.21259,-0.16731,-0.12634,-0.12143,-0.11121,-0.18052,-0.17003,-0.16076,48.2935,1.18e-05,0.0452
851,DHX57,-0.02179,-0.05378,-0.04699,-0.05086,-0.06784,-0.08171,0.0533,0.11287,-0.04592,-0.076,-0.06827,-0.07038,-0.05927,-0.01751,-0.01198,137.15978,2.6e-22,1.57e-18
852,DHX9,-0.35308,-0.25209,-0.2337,-0.16184,-0.08614,0.06066,-0.15797,-0.40733,-0.19325,-0.11011,-0.30031,-0.21038,-0.20827,-0.14926,-0.12036,378.21856,4.87e-72,3.37e-68
853,DIMT1,-0.23943,-0.22458,-0.21116,-0.20691,-0.16281,-0.08117,-0.20227,-0.29588,-0.19605,-0.14617,-0.17855,-0.17182,-0.16117,-0.20627,-0.22455,81.70674,1.36e-11,7.1e-08
854,DIS3L2,-0.03976,0.02063,-0.05794,-0.07008,-0.06177,-0.08196,-0.02541,0.06621,-0.06692,-0.08477,-0.08494,-0.07816,-0.02884,-0.04539,-0.08393,85.80298,2.34e-12,1.24e-08
855,DKC1,-0.36363,-0.26913,-0.23017,-0.08757,-0.0902,0.0463,-0.41479,-0.4563,-0.23188,-0.07006,-0.17832,-0.18032,-0.27035,-0.24779,-0.34822,421.24541,4.21e-81,2.94e-77
856,DLD,-0.30563,-0.27826,-0.26218,-0.22804,-0.22184,0.00759,-0.28279,-0.30026,-0.25497,-0.17308,-0.19064,-0.14807,-0.21666,-0.2707,-0.23558,216.03122,2.87e-38,1.87e-34
