,gene,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,Group12,Group13,Group14,Group15,statisticsValue,P-value,Adj P-value
3081,SPTSSA,-0.2487,-0.20798,-0.21273,0.02279,-0.09649,-0.10252,-0.21819,-0.24658,-0.08393,-0.15023,-0.12497,-0.10278,-0.22287,-0.24885,-0.23092,82.07806,1.16e-11,6.07e-08
3082,SRA1,-0.05499,-0.0427,-0.09034,-0.10278,-0.09265,-0.08653,-0.03046,0.00373,-0.09476,-0.10693,-0.10214,-0.09334,-0.09003,-0.08512,-0.06059,53.60479,1.5e-06,0.00621
3083,SREK1IP1,-0.22524,-0.22034,-0.20972,-0.17676,-0.17049,-0.08155,-0.19903,-0.215,-0.19653,-0.16932,-0.06235,-0.08977,-0.21021,-0.20971,-0.20742,59.45863,1.46e-07,0.000647
3084,SRGN,-0.33032,-0.31584,-0.33279,-0.2841,-0.29589,-0.32431,-0.33486,-0.3224,0.80018,-0.18145,1.08871,0.24204,-0.33474,-0.34069,-0.31606,2308.26324,0.0,0.0
3085,SRI,-0.38312,-0.28882,-0.32546,-0.17561,-0.09536,0.10179,-0.19975,-0.32014,-0.21859,-0.24184,-0.24649,-0.25476,-0.34609,-0.44061,-0.36239,471.01343,1.28e-91,9.01e-88
3086,SRM,-0.36905,-0.29071,-0.19153,-0.14863,-0.20152,-0.06075,-0.42842,-0.38904,-0.24402,0.0043,-0.00396,-0.10003,-0.22859,-0.27794,-0.36646,359.70941,3.78e-68,2.6e-64
3087,SRP14,-0.28689,-0.28071,-0.22082,-0.15114,-0.11549,0.05666,-0.53197,-0.64554,-0.269,-0.15474,-0.09861,-0.15811,-0.15169,0.00428,0.64857,663.4307,1.63e-132,1.18e-128
3088,SRP19,-0.27742,-0.2576,-0.24326,-0.15493,-0.16723,-0.08506,-0.27211,-0.26745,-0.13209,-0.13482,-0.13852,-0.12678,-0.21571,-0.19938,-0.09519,92.14847,1.49e-13,8.1e-10
3089,SRP54,-0.26337,-0.24115,-0.23898,-0.19728,-0.22286,-0.09738,-0.27238,-0.26218,-0.16236,-0.17766,-0.10515,-0.10578,-0.2371,-0.21439,-0.15202,81.83293,1.29e-11,6.73e-08
3090,SRP72,-0.29869,-0.24046,-0.19068,-0.14598,-0.18971,-0.07746,-0.43349,-0.45816,-0.1579,-0.06574,-0.02316,-0.06004,-0.25837,-0.26532,-0.15291,264.01632,3.6e-48,2.4e-44
3091,SRP9,-0.29788,-0.22456,-0.16662,-0.10613,-0.07107,-0.12392,-0.372,-0.42633,-0.14604,-0.09094,-0.03043,-0.07717,-0.1443,-0.08284,0.0686,188.25578,1.36e-32,8.66e-29
3092,SRPK1,-0.25183,-0.23671,-0.23579,-0.20097,-0.22335,-0.05559,-0.23085,-0.23114,-0.21562,-0.12096,-0.09265,-0.19542,-0.24283,-0.25521,-0.23905,110.18232,5.16e-17,2.97e-13
3093,SRPRA,-0.2779,-0.23267,-0.27042,-0.19525,-0.22439,-0.14875,-0.17834,-0.3128,-0.10474,-0.14705,0.01207,-0.03062,-0.21957,-0.2568,-0.12744,132.02274,2.71e-21,1.63e-17
3094,SRPRB,-0.21459,-0.21892,-0.19257,-0.17859,-0.22705,-0.16021,-0.18314,-0.23427,-0.18749,-0.11682,0.05899,-0.09457,-0.22397,-0.22667,-0.18371,109.88195,5.9e-17,3.4e-13
3095,SRRM1,-0.32843,-0.26867,-0.20851,-0.07086,-0.14326,-0.01532,-0.30087,-0.45051,-0.16918,-0.1456,-0.19565,-0.1295,-0.18133,-0.16595,-0.13864,267.73487,6.09e-49,4.07e-45
3096,SRRM2,-0.36522,-0.26305,-0.26963,-0.10347,-0.24296,0.03578,-0.14539,-0.44786,-0.16445,-0.08877,-0.28594,-0.14346,-0.25766,-0.21759,-0.15708,368.6214,5.07e-70,3.5e-66
3097,SRRT,-0.33194,-0.29899,-0.21892,-0.20318,-0.22878,-0.03822,-0.12911,-0.33243,-0.16851,-0.08526,-0.19034,-0.12195,-0.26005,-0.2105,-0.19972,166.16134,4.08e-28,2.55e-24
3098,SRSF1,-0.43026,-0.32655,-0.2256,-0.01132,-0.10708,0.03087,-0.29847,-0.56843,-0.11357,-0.09829,-0.16022,-0.08033,-0.21398,-0.16242,0.08712,519.69442,6.18e-102,4.39e-98
3099,SRSF10,-0.33348,-0.23476,-0.15779,-0.1174,-0.17137,-0.07391,-0.06237,-0.35021,-0.14915,-0.07717,-0.18771,-0.11018,-0.18665,-0.10082,-0.10053,136.0579,4.3e-22,2.6e-18
3100,SRSF11,-0.28313,-0.16472,-0.2141,-0.13431,-0.18532,-0.04852,-0.24031,-0.38572,-0.10838,-0.17325,-0.15579,-0.09604,-0.24475,-0.13851,-0.13877,156.11959,4.27e-26,2.65e-22
3101,SRSF2,-0.48605,-0.35213,-0.1941,-0.04905,-0.1617,0.08184,0.09089,-0.54714,-0.22197,-0.07933,-0.2553,-0.19869,-0.22325,-0.18204,0.01161,634.5947,2.29e-126,1.64e-122
3102,SRSF3,-0.47156,-0.26446,-0.18702,-0.15019,0.072,0.11925,-0.35915,-0.65831,-0.15755,-0.00593,-0.20886,-0.11369,-0.20007,-0.13662,0.1985,782.69967,5.54e-158,4.02e-154
3103,SRSF4,-0.32389,-0.30129,-0.26364,-0.15226,-0.22795,-0.04089,-0.1211,-0.31295,-0.16512,-0.20543,-0.20815,-0.12944,-0.21388,-0.24314,-0.09669,151.95944,2.91e-25,1.8e-21
3104,SRSF5,0.02255,-0.06908,-0.09246,-0.10755,0.16927,-0.14075,-0.33477,-0.48463,-0.11849,-0.06574,-0.19772,-0.07173,-0.07324,-0.05345,-0.14805,239.27603,4.72e-43,3.11e-39
3105,SRSF6,-0.25499,-0.15838,-0.12238,-0.12141,-0.19949,-0.09341,-0.29297,-0.38691,-0.11683,-0.11856,-0.23185,-0.17342,-0.08197,-0.16602,-0.1377,135.35188,5.94e-22,3.58e-18
3106,SRSF7,-0.43588,-0.19856,-0.22927,-0.00431,-0.0602,0.05142,-0.36516,-0.58281,-0.10723,-0.04385,-0.16952,-0.08851,-0.23284,-0.23048,-0.13065,585.26163,7.27e-116,5.2e-112
3107,SRSF9,-0.28256,-0.15214,-0.1401,-0.12923,-0.10857,-0.12693,-0.48925,-0.51251,-0.02497,0.09271,0.02555,0.00387,-0.16184,-0.07527,0.01346,405.99571,6.91e-78,4.81e-74
3108,SS18L2,-0.27407,-0.28276,-0.23166,-0.16715,-0.13955,-0.07971,-0.27905,-0.28759,-0.18737,-0.15965,-0.10519,-0.09236,-0.23982,-0.26909,-0.20616,100.1049,4.53e-15,2.54e-11
3109,SSB,-0.35032,-0.29696,-0.23058,-0.02935,-0.09194,0.05214,-0.38156,-0.43607,-0.24599,-0.10321,-0.19791,-0.18839,-0.22225,-0.31661,-0.25939,395.45119,1.15e-75,7.99e-72
3110,SSBP1,-0.32562,-0.25775,-0.23826,-0.24129,-0.15963,-0.07239,-0.37598,-0.38227,-0.23674,-0.11659,0.01656,-0.09564,-0.29658,-0.26059,-0.30946,244.15798,4.63e-44,3.06e-40
3111,SSBP2,-0.04179,-0.13385,-0.06782,-0.13861,-0.12624,-0.1861,-0.24624,-0.23041,-0.19861,-0.11445,-0.23813,-0.23685,0.00776,0.11426,-0.10821,98.39474,9.62e-15,5.37e-11
3112,SSBP3,-0.18715,-0.22787,-0.21792,-0.17374,-0.16963,-0.04077,-0.00753,0.01061,-0.23732,-0.26043,-0.25558,-0.29536,-0.25079,-0.27099,-0.30386,164.37288,9.35e-28,5.83e-24
3113,SSBP4,-0.12084,-0.11239,-0.11651,-0.10804,-0.11512,-0.13506,-0.02258,-0.00838,-0.12565,-0.11477,-0.10621,-0.11791,-0.12949,-0.12528,-0.12946,59.83654,1.25e-07,0.000558
3114,SSH1,-0.11807,-0.12949,-0.13763,-0.14864,-0.14218,-0.13398,-0.00926,-0.0376,-0.10393,-0.10339,-0.11552,-0.08575,-0.14166,-0.10625,-0.13958,48.75917,9.84e-06,0.038
3115,SSR1,-0.29533,-0.25971,-0.21322,-0.03031,-0.17289,-0.19478,-0.41489,-0.43391,0.05334,-0.04689,0.23158,0.06061,-0.29662,-0.22618,-0.01277,449.68309,4.15e-87,2.92e-83
