,gene,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,statisticsValue,P-value,Adj P-value
329,JARID2,-0.266,-0.22,-0.183,0.12,0.013,0.212,-0.161,-0.136,-0.155,-0.247,-0.2,58.879,5.9e-09,3.69e-05
330,JCHAIN,-0.256,-0.256,-0.251,-0.256,-0.256,-0.253,-0.139,0.548,0.496,0.604,0.776,427.761,1.15e-85,7.74e-82
331,JUN,0.079,-0.219,-0.176,-0.217,-0.35,-0.172,-0.297,-0.242,-0.302,-0.318,-0.278,90.245,4.79e-15,3.08e-11
332,JUND,0.278,-0.114,-0.302,-0.242,-0.389,-0.474,-0.447,-0.335,-0.52,-0.102,-0.31,247.477,1.84e-47,1.23e-43
333,KARS,-0.262,-0.282,-0.167,-0.178,-0.064,0.1,-0.162,-0.01,-0.089,-0.317,-0.198,43.234,4.52e-06,0.0276
334,KBTBD11,-0.084,-0.108,-0.124,-0.11,-0.195,0.447,-0.096,-0.073,-0.077,-0.101,-0.12,43.371,4.27e-06,0.0261
335,KCNAB2,-0.256,-0.3,-0.171,-0.301,-0.31,0.268,-0.084,-0.152,-0.266,-0.252,-0.21,64.515,5.02e-10,3.16e-06
336,KHSRP,-0.307,-0.306,-0.155,-0.153,-0.079,0.128,-0.11,-0.095,-0.219,-0.305,-0.171,56.107,1.96e-08,0.000122
337,KIAA0087,-0.098,-0.112,-0.083,-0.115,-0.115,-0.11,-0.083,-0.109,-0.038,0.318,-0.098,68.706,7.87e-11,4.99e-07
338,KIAA0101,-0.376,-0.341,-0.141,0.016,0.198,0.1,0.195,0.836,-0.157,-0.35,-0.238,251.417,2.73e-48,1.82e-44
339,KIAA0930,-0.234,-0.284,-0.196,-0.277,-0.273,0.27,-0.04,0.1,-0.138,-0.135,-0.14,76.754,2.17e-12,1.38e-08
340,KIT,-0.104,-0.322,-0.095,-0.329,-0.196,0.063,-0.112,-0.263,-0.263,-0.316,-0.317,65.326,3.51e-10,2.21e-06
341,KLF10,-0.196,-0.307,-0.103,-0.358,-0.304,-0.156,-0.037,-0.188,0.024,0.14,-0.14,50.314,2.34e-07,0.00144
342,KLF2,0.037,-0.19,-0.172,-0.18,-0.228,-0.126,-0.18,-0.179,-0.239,-0.172,-0.159,44.679,2.48e-06,0.0152
343,KLF6,-0.135,-0.451,-0.19,-0.554,-0.591,-0.048,0.115,0.358,0.055,0.064,0.395,242.24,2.32e-46,1.54e-42
344,KPNB1,-0.231,-0.317,-0.13,-0.218,0.134,0.009,-0.101,-0.102,-0.308,-0.458,-0.221,59.476,4.55e-09,2.85e-05
345,LAIR1,-0.193,-0.306,-0.257,-0.409,-0.44,-0.009,-0.098,0.026,0.098,-0.148,0.641,162.665,9.12e-30,6.01e-26
346,LAPTM4B,-0.042,-0.106,-0.048,0.15,-0.389,-0.418,-0.405,-0.537,-0.507,-0.524,-0.505,185.875,1.41e-34,9.32e-31
347,LAPTM5,-0.184,-0.147,-0.202,-0.429,-0.43,-0.35,-0.19,-0.146,-0.268,0.444,-0.068,77.207,1.77e-12,1.13e-08
348,LAT2,-0.339,-0.281,-0.217,-0.109,-0.348,-0.052,0.111,0.297,0.183,-0.121,1.04,321.79,3.81e-63,2.55e-59
349,LBR,-0.237,-0.31,-0.124,-0.275,-0.055,0.125,-0.013,0.058,-0.233,-0.28,-0.146,60.792,2.57e-09,1.61e-05
350,LCP1,-0.312,-0.487,-0.174,-0.534,-0.446,0.191,0.272,1.109,0.406,0.651,0.12,510.649,2.34e-103,1.58e-99
351,LCP2,-0.156,-0.105,-0.232,0.619,-0.158,-0.253,-0.265,-0.371,-0.279,-0.338,-0.345,62.536,1.2e-09,7.52e-06
352,LDHA,-0.314,-0.34,-0.116,-0.069,-0.08,0.151,0.039,-0.12,-0.047,-0.354,-0.053,86.964,2.14e-14,1.37e-10
353,LDHB,-0.382,-0.159,0.036,0.384,0.203,0.141,-0.048,-0.006,-0.283,-0.634,-0.123,206.104,8.59e-39,5.7e-35
354,LEPROT,-0.105,-0.014,-0.239,0.071,0.001,-0.278,-0.289,-0.342,-0.363,-0.329,-0.35,62.533,1.2e-09,7.53e-06
355,LGALS1,-0.212,-0.198,-0.165,-0.19,-0.216,0.246,0.213,1.045,-0.044,-0.129,-0.154,185.156,1.99e-34,1.31e-30
356,LIMS1,-0.144,0.065,-0.225,0.695,-0.065,-0.289,-0.276,-0.279,-0.379,-0.315,-0.314,100.788,3.79e-17,2.45e-13
357,LINC00865,-0.147,-0.133,-0.128,-0.153,-0.153,-0.14,-0.097,-0.024,-0.013,0.413,0.058,72.546,1.43e-11,9.07e-08
358,LITAF,-0.255,-0.325,-0.142,-0.369,-0.285,-0.038,-0.005,0.026,-0.092,0.057,-0.102,59.914,3.76e-09,2.36e-05
359,LMNB1,-0.205,-0.213,-0.16,-0.17,-0.052,0.139,0.022,0.156,-0.175,-0.197,-0.19,58.18,8e-09,5e-05
