,gene,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,statisticsValue,P-value,Adj P-value
618,RPLP0,-0.319,-0.233,0.138,0.014,0.15,0.01,0.41,-0.269,0.191,-0.443,0.341,205.994,9.06e-39,6.01e-35
619,RPLP1,0.017,0.003,0.236,-0.238,-0.249,-0.284,0.213,-0.134,0.324,-0.875,-0.225,220.758,7.42e-42,4.93e-38
620,RPLP2,0.252,0.061,-0.11,-0.244,-0.321,-0.374,-0.204,-0.348,0.131,-0.166,-0.296,158.219,7.55e-29,4.97e-25
621,RPN1,-0.248,-0.242,-0.164,-0.115,-0.012,0.203,-0.178,0.058,-0.229,-0.201,-0.171,58.142,8.13e-09,5.08e-05
622,RPS10,0.219,0.105,0.015,-0.266,-0.289,-0.555,-0.262,-0.513,-0.149,-0.405,-0.427,251.896,2.17e-48,1.44e-44
623,RPS11,-0.014,0.496,0.013,-0.33,0.166,-0.551,-0.321,-0.386,-0.202,-0.188,-0.357,254.085,7.51e-49,5.01e-45
624,RPS12,0.362,0.142,-0.022,-0.455,-0.397,-0.518,-0.075,-0.559,0.05,-0.76,-0.206,380.872,1.1e-75,7.4e-72
625,RPS13,0.062,0.152,0.017,-0.498,-0.313,-0.177,-0.154,-0.374,-0.216,-0.46,-0.249,122.725,1.41e-21,9.21e-18
626,RPS14,0.348,0.457,0.117,-0.389,-0.139,-0.605,-0.431,-0.834,-0.384,-1.041,-0.848,881.511,6.06e-183,4.11e-179
627,RPS15,0.127,0.034,0.07,-0.373,-0.399,-0.34,0.092,-0.381,0.137,-0.441,-0.391,164.419,3.96e-30,2.61e-26
628,RPS15A,0.131,0.217,0.02,-0.459,-0.285,-0.553,-0.274,-0.706,-0.142,-0.21,-0.252,245.733,4.28e-47,2.85e-43
629,RPS16,-0.333,-0.052,0.064,-0.176,0.277,0.222,0.292,-0.008,0.327,-0.354,0.064,149.067,5.8e-27,3.81e-23
630,RPS17,0.016,0.072,0.137,-0.292,0.087,-0.051,0.135,-0.509,-0.255,-1.01,-0.402,288.076,5.14e-56,3.43e-52
631,RPS18,0.491,0.174,0.164,-0.668,-0.239,-0.595,-0.419,-0.946,-0.492,-1.142,-0.684,938.551,3.2e-195,2.17e-191
632,RPS19,-0.023,-0.278,0.208,-0.379,-0.404,-0.275,0.26,-0.526,-0.078,-0.358,0.288,205.719,1.03e-38,6.86e-35
633,RPS2,0.277,0.191,0.346,-0.557,-0.286,-0.451,-0.278,-0.964,-0.583,-1.293,-0.643,876.424,7.54e-182,5.11e-178
634,RPS20,0.144,0.194,0.007,-0.402,-0.308,-0.241,0.029,-0.147,-0.019,-0.725,-0.495,217.385,3.77e-41,2.5e-37
635,RPS21,-0.009,-0.106,0.159,-0.561,-0.103,-0.268,0.184,-0.089,0.295,-0.559,-0.323,140.129,3.97e-25,2.59e-21
636,RPS23,0.478,0.26,0.142,-0.43,-0.306,-0.546,-0.213,-0.598,-0.242,-1.194,-0.875,878.559,2.62e-182,1.77e-178
637,RPS24,0.142,0.32,0.065,-0.368,-0.292,-0.23,-0.205,-0.632,-0.379,-0.695,-0.549,327.776,2.06e-64,1.38e-60
638,RPS25,0.133,0.04,-0.002,-0.021,-0.166,-0.032,0.007,-0.405,0.04,-0.816,-0.163,162.628,9.29e-30,6.11e-26
639,RPS26,-0.318,-0.254,-0.099,0.126,-0.129,0.313,-0.051,-0.108,-0.087,-0.361,-0.076,101.9,2.27e-17,1.47e-13
640,RPS27,0.336,0.421,-0.124,-0.498,-0.467,-0.859,-0.542,-0.67,-0.521,-0.227,-0.407,573.124,1.01e-116,6.78e-113
641,RPS27A,0.417,0.213,-0.058,-0.485,-0.365,-0.504,-0.306,-0.771,-0.404,-0.402,-0.463,467.652,3.58e-94,2.41e-90
642,RPS28,-0.063,0.047,0.12,-0.559,0.059,-0.251,0.025,-0.205,0.45,-0.32,-0.1,81.25,2.85e-13,1.82e-09
643,RPS29,0.084,0.312,0.202,-0.374,0.222,-0.362,-0.115,-0.574,-0.142,-1.02,-0.444,435.172,3.03e-87,2.04e-83
644,RPS3,0.349,0.176,0.185,-0.331,-0.145,-0.685,-0.349,-0.876,-0.37,-0.838,-0.686,667.742,5.26e-137,3.55e-133
645,RPS3A,0.396,0.257,0.081,-0.424,-0.447,-0.639,-0.368,-0.774,-0.581,-0.949,-0.782,793.169,6.07e-164,4.1e-160
646,RPS4X,0.357,0.416,0.047,-0.45,-0.356,-0.68,-0.367,-0.782,-0.373,-0.889,-0.697,733.647,3.74e-151,2.53e-147
647,RPS4Y1,0.114,-0.194,-0.128,-0.591,-0.291,-0.248,-0.3,-0.406,-0.096,-0.244,-0.279,105.722,3.88e-18,2.51e-14
648,RPS5,-0.03,-0.057,0.101,-0.098,0.137,-0.028,0.037,-0.301,-0.103,-0.685,-0.202,118.103,1.23e-20,7.97e-17
649,RPS6,0.112,0.28,0.209,-0.363,-0.011,-0.314,0.038,-0.605,-0.487,-1.209,-0.405,485.295,6.11e-98,4.12e-94
650,RPS7,-0.147,0.079,0.082,-0.1,-0.082,-0.072,0.222,-0.341,-0.002,-0.414,-0.145,78.796,8.64e-13,5.52e-09
651,RPS8,0.019,0.221,0.226,-0.033,0.358,-0.214,0.079,-0.561,-0.233,-1.304,-0.387,491.515,2.87e-99,1.93e-95
652,RPS9,0.305,-0.111,0.059,-0.545,-0.317,-0.501,-0.04,-0.583,-0.433,-0.522,-0.265,296.963,6.82e-58,4.56e-54
653,RPSA,-0.107,-0.014,0.169,-0.115,0.202,-0.196,-0.073,-0.345,-0.096,-0.646,-0.223,144.856,4.25e-26,2.79e-22
654,RRM1,-0.293,-0.299,-0.114,-0.235,0.025,-0.014,0.092,0.147,-0.212,-0.292,-0.241,76.631,2.29e-12,1.46e-08
655,RUNX1,-0.322,-0.258,-0.167,-0.072,-0.068,0.28,0.073,-0.022,-0.218,-0.352,-0.372,104.526,6.74e-18,4.36e-14
656,RUNX2,-0.228,-0.242,-0.217,-0.241,-0.245,-0.105,0.033,1.094,-0.02,0.379,-0.187,220.918,6.87e-42,4.56e-38
657,S100A4,-0.194,-0.222,-0.223,0.12,0.463,-0.157,-0.274,-0.152,-0.194,-0.227,-0.382,64.726,4.57e-10,2.88e-06
658,S100A6,-0.112,-0.179,-0.255,0.059,0.954,-0.182,-0.349,-0.281,-0.384,-0.385,-0.423,136.48,2.22e-24,1.45e-20
659,SAMHD1,-0.109,-0.107,-0.116,-0.159,-0.121,0.034,-0.098,0.383,-0.106,-0.117,-0.109,47.194,8.71e-07,0.00536
660,SATB1,-0.334,-0.32,-0.202,-0.25,-0.309,-0.08,0.221,0.176,0.902,0.217,0.471,224.171,1.43e-42,9.51e-39
661,SCCPDH,-0.307,-0.277,-0.182,-0.13,-0.127,0.121,-0.093,-0.184,-0.312,-0.364,-0.105,52.359,9.79e-08,0.000607
662,SEC11A,-0.266,-0.1,-0.182,0.154,-0.04,-0.021,-0.233,-0.09,-0.396,-0.302,-0.305,41.849,7.98e-06,0.0487
663,SEC61B,-0.335,-0.3,-0.215,-0.151,-0.174,0.233,-0.077,0.705,0.059,-0.295,-0.093,163.592,5.87e-30,3.86e-26
664,SEC61G,-0.281,-0.249,-0.187,-0.078,-0.154,0.085,-0.062,0.287,-0.055,-0.304,-0.177,77.125,1.83e-12,1.17e-08
665,SELL,-0.141,-0.469,0.081,-0.806,-0.827,-0.232,0.231,0.568,0.324,-0.656,0.82,569.055,7.48e-116,5.04e-112
666,SEPT6,-0.273,-0.245,-0.039,-0.347,-0.319,-0.303,-0.107,0.046,0.098,-0.19,0.036,62.172,1.4e-09,8.82e-06
667,SEPT9,-0.245,-0.32,-0.231,-0.392,-0.344,-0.187,-0.112,0.396,0.035,0.129,0.339,170.609,2.08e-31,1.37e-27
668,SERBP1,-0.338,-0.272,-0.102,0.095,0.187,0.466,-0.078,-0.089,-0.429,-0.526,-0.221,179.504,2.97e-33,1.96e-29
669,SERF2,-0.373,-0.257,-0.176,0.462,0.314,0.366,0.022,0.494,-0.199,-0.236,-0.038,219.492,1.37e-41,9.07e-38
670,SERPINB1,-0.298,0.487,-0.141,0.922,-0.154,0.321,-0.336,-0.623,-0.194,-0.689,-0.442,440.642,2.07e-88,1.39e-84
671,SERPING1,-0.136,-0.208,-0.119,-0.01,-0.328,-0.238,-0.071,-0.297,-0.227,-0.374,-0.424,45.356,1.88e-06,0.0115
672,SERTAD2,-0.269,-0.269,-0.177,-0.206,-0.313,-0.122,-0.072,0.123,0.219,-0.018,0.07,64.139,5.92e-10,3.73e-06
673,SET,-0.319,-0.252,-0.122,-0.258,0.013,0.089,0.055,-0.039,-0.239,-0.229,-0.056,63.721,7.12e-10,4.48e-06
674,SFPQ,-0.395,-0.316,-0.137,0.026,0.082,0.294,0.101,0.36,-0.238,-0.306,0.016,198.674,3.05e-37,2.02e-33
675,SFT2D2,-0.229,-0.219,-0.17,-0.202,-0.046,0.103,-0.13,0.164,-0.205,-0.164,-0.154,47.306,8.31e-07,0.00511
676,SH3BGRL3,-0.323,-0.24,-0.268,0.302,-0.335,-0.121,-0.019,0.102,0.373,0.279,0.099,132.764,1.27e-23,8.32e-20
677,SH3KBP1,-0.262,-0.285,-0.252,-0.234,-0.262,-0.048,-0.03,0.275,-0.077,-0.233,0.18,97.628,1.62e-16,1.05e-12
